"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead","NOTES"
"Camp Mary Orton","www.campmaryorton.org","adventure@campmaryorton.org","303 East Sixth Avenue","Columbus","OH",43235,"614.885.1023","Adventure Academy takes place on Camp Mary Orton’s 167 wooded acres bordered by the Olentangy River. In addition to miles of trails, we have a swimming pool, archery range and an experiential education/adventure course. Camp Mary Orton has been home to summer youth programming for over 90 years. We are dedicated to providing your child with challenges in a nurturing environment. Our Adventure Academy programs have been developed by educators and experiential education professionals. Our 10:1 camper to counselor ratio ensures your child will receive individual attention.",5,99,"No","Yes","No","Adventure/Outdoors","Nature Programs","Hiking","Swimming","Multisport","Leadership","Photography and Video","Creative Arts","Archery",,,,"https://www.facebook.com/CampMaryOrton","Yes","http://www.campmaryorton.org/wp-content/uploads/2014/10/round-CMO2-e1414433830541.jpg","http://www.campmaryorton.org/wp-content/uploads/2013/08/coverunedited.png",,,,"Yes","No pricing or registration information listed on site."
"Aspies and Friends Academy","https://www.facebook.com/pages/Aspies-Friends-Academy/661154277274538?sk=info&ref=page_internal","aspiesandfriendsacademy@gmail.com","11584 W Palmetto Park Rd","Boca Raton","FL",33428,"561-325-8570",,,,,,,,,,,,,,,,,,,,,,,,,,,"Website shut down, no activity on FB page since Spring"
"John Brady Red Wolves Basketball Camp","http://www.astateredwolves.com/","BrodrickJohnson@astate.edu",,,,,"870-972-2627",,,,,,,,,,,,,,,,,,,,,,,,,,,"No info on website or Active. Program shut down?"
"Royal New Kent","www.royalnewkent.com","btempleton@traditionalclubs.com","10100 Kentland Trl","Providence Forge","VA",23140,"804-966-7023 Ext. 2","Whether you are a beginner just getting started in the game or a scratch player trying to win tournaments, let our professional staff help you achieve your goals.  We have programs for all ages and skill levels to give you more enjoyment from the game of golf. Our junior camps are a great way to get your juniors more involved in the game.  Our camps cover everything from etiquette, rules, fundamentals and having fun.",5,18,"Yes","Yes","No","Golf",,,,,,,,,140,"Per_session","Active","https://www.facebook.com/pages/The-Tradition-Golf-Club-at-Royal-New-Kent/195399270488358","No","http://www.royalnewkent.com/sites/images/356/royalnewkentheader2.jpg","http://www2.cybergolf.com/sites/images/356/banner-junior-golf.jpg",,,,,
"Little Discoverer Language Academy","ldlacolorado.org","camannina@ldlacolorado.org","2229 Oneida St.","Denver","CO",80207,"303-355-0203","Little Discoverer Language Academy is a new language and extracurricular program in Denver, Colorado, educating students through guided discovery and self-inquiry. Our program at local recreation centers is designed to provide a fun, affordable, and exciting introduction to Spanish. The classes are offered in 4 weeks sessions. All the lessons are developed to give the students the opportunity to learn and understand basic common phrases, correct pronunciation and specific vocabulary. At home reinforcement is encourage through the weekly distribution of newsletters.",5,10,"Yes","No","No","Language","Spanish",,,,,,,,,,"Active","https://www.facebook.com/LDLAColorado","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c30.30.372.372/s160x160/154694_230563493742886_797300095_n.jpg?oh=6f94c6f04d7a3b78b92e1b3a120841e0&oe=54E0F22E&__gda__=1423359727_70e784ea9e06361b58a572dd9df33ba5",,"Misc locations","K",5,,"Summer program has been canceled."
"Princeton University Sports Camps","http://www.princetonsportscamps.com/","camps@princeton.edu","103 Dillon Gym","Princeton","NJ",8544,"609-258-3369","Welcome to the home of Princeton University Sports Camps. Since the early 1990's Princeton University's Office of Conference & Event Services, in conjunction with the Department of Athletics, has been offering sport-specific camps for young athletes. Today, Princeton University hosts about 70 camps and clinics annually, with athletes from around the world in attendance. In addition to our sports camps, The Princeton University Summer Day Camp is designed for children entering grades 1-8. The camper's day will be filled with a variety of sports, games, arts & crafts, and camp activities that will keep your camper active and engaged throughout the week. Each camp provides programs and trips for their specific age group.",6,18,"No","Yes","No","Sports","Baseball","Rowing","Softball","Water Polo","Creative Arts","Basketball","Cross Country","Fencing",285,"Per_week","Active","https://www.facebook.com/PrincetonSportsCamps","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/74086_459068899083_3727830_n.jpg?oh=844fc525e549f1214557abeaa44b01f2&oe=54D73E3A&__gda__=1423909034_0be799be1c85de186022a7ba418b5177","https://scontent-b-lga.xx.fbcdn.net/hphotos-xpf1/v/l/t1.0-9/10462565_10152566263624084_8021604022336198471_n.jpg?oh=e8eee71aaed183f00ae71057ddecd8d3&oe=54EAEA10","Princeton University",,,,
"TAF","http://camp.techaccess.org/","camps@techaccess.org","605 SW 108th St","Seattle","WA",98146,"206-725-9095 Ext. 102","TAF is a nonprofit leader in science, technology, engineering and math (STEM) education. We address three problems that keep students of color away from STEM and essentially disqualify them from competing and thriving in today’s society.  Camp @ TAF is a day camp for youth entering grades 3 through 8. Students do fun, hands-on projects focused on science, technology, engineering, and math—or “STEM”! Camps are offered during school breaks and summer.",8,14,"Yes","Yes","No","Academics","Science/Technology","Math","Robotics","Gaming","Creative Writing",,,,200,"Per_week","Active","N/A","N/A","http://camps2013.wpengine.com/wp-content/uploads/2012/06/Camp_red-shadow-bevel-e1383431430200-300x55.jpg","http://camps2013.wpengine.com/wp-content/uploads/2013/03/gels3-e1379023793809.jpg","Bethaday Community Learning Space",3,8,,
"Community Boating Center, Inc.","communityboating.org","cbc@communityboating.org","1641 Padanaram Avenue","New Bedford","MA",2740,"508-992-6219","Community Boating Center of New Bedford (CBC) is a non-profit 501(c)3 organization which teaches positive life values to at-risk youth through boating. Our flagship program is our Summer Youth Sailing Program. This program is designed to be a step by step process in character development, by using sailing and boating as a tool to help instill important life lessons in our students, such as the values of integrity, sound judgment, teamwork and environmental awareness.",5,17,"Yes","Yes","No","Sailing",,,,,,,,,375,"Per_session","Active","https://www.facebook.com/CommunityBoatingCenter","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/v/t1.0-1/c43.42.522.522/s160x160/558845_10152069516627345_1128246557_n.jpg?oh=d7ffd0b0f4b68a6c51366b38e6d14140&oe=54D9E579&__gda__=1427906658_7662169deeec47b2aaa030ae3720c418","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10534687_10152837389242345_4388718615598008974_n.jpg?oh=013c9637ca3364333b7b661bb74a35f9&oe=54EA973A&__gda__=1424100191_57be13dccfb0bef9c8592f8732361bf8",,,,,
"Stanford Beginning Fencing Camp","http://www.stanfordfencingcamp.com/","cdarcey@stanford.edu","Arrillaga Center for Sports and Recreation","Stanford","CA",94305,"650-725-3001","Learn the elegant sport of Fencing from experienced staff who will teach you to thrust, parry, and lunge like the musketeers. This camp is open to anyone who wants to learn how to fence and is 8  -18 years old",8,18,"Yes","Yes","No","Fencing",,,,,,,,,295,"Per_session","Active","https://www.facebook.com/StanfordFencing","No","http://www.stanfordfencingcamp.com/Assets/SGU-51-ST-Camp+Templates+Digital+Assets/fadeheader.jpg","https://scontent-a-lga.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10734118_649522941833127_6996979713868302810_n.jpg?oh=c3462a8c3177a2d1b97ee6f9374dba7e&oe=54E08514",,,,,
"iOWest","http://ioimprov.com/west/","charna@ioimprov.com",,,,,"773-880-0199",,,,,,,,,,,,,,,,,,,,,,,,,,,"No mention of children's classes or camps"
