"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot Lead"
"Karen's Art Zone","http://www.karensartzone.com/home","karenhegglin@verizon.net","17836 Del Monte St.","Morgan Hill",95037,"(408) 779-7871","Art instruction","CA",4.5,18,"Y","Y","N","Drawing and Painting",,,,,,,,,16,"per_class","PDF","https://www.facebook.com/KarensArtZone","N",,,,,,,
"Fly on the Wall Gallery & Art School","http://www.flyonthewallartist.com/","susan@flyonthewallartist.com","790 Main Street","Half Moon Bay",94019,"(650) 726-8125","Art instruction","CA",,,"Y","Y","Y","Drawing and Painting",,,,,,,,,75,"per_hour","Phone call","https://www.facebook.com/pages/Fly-On-The-Wall-Gallery-Art-School/157004667666908","N",,,,"K",12,,
"Hills Academy of Music & Art","http://www.hillsacademy.com/","info@hillsacademy.com","2941 Rolling Hills Rd","Torrance",90505,"(310) 784-0100","Art instruction","CA",,,"Y","N","N","Drawing and Painting","Music","Dance",,,,,,,,,"Phone call","https://www.facebook.com/pages/Hills-Academy-of-Music-Art-and-Dance/116560545071757","N",,,,,,,
"Ryman Arts","http://www.rymanarts.org/","info@ryman.org","315 W 9th Street","Los Angeles",90015,"(213) 629-2787","Art instruction","CA",13,18,"Y","N","N","Drawing and Painting",,,,,,,,,,,"PDF","https://www.facebook.com/rymanartsfanpage","Y","http://www.rymanarts.org/sites/default/files/Ryman_logo.png",,,9,12,,
"The Art Studio","http://theartstudio.vpweb.com/default.html","theartstudiomail@gmail.com","20436 Brian Way Unit G","Tehachapi",93561,"(661) 822-4420","Art instruction","CA",5,18,"Y","Y","Y","Drawing and Painting","Ceramics","Pottery",,,,,,"Drama",60,"per_month","Phone call","https://www.facebook.com/pages/The-Art-Studio-Gallery/149064028483813","N","http://theartstudio.vpweb.com/bg-1-150203.jpeg?u=301644289",,,"K",12,,
"ART Jamming","http://artjammingsanjose.com/","leanne_bouwer@yahoo.com","6055 Meridian Ave, Unit 60","San Jose",95120,"(408) 410-3106","Art instruction","CA",5,18,"Y","Y","Y","Drawing and Painting",,,,,,,,,78,"per_month","Online form","https://www.facebook.com/pages/ART-Jamming-SAN-JOSE/201439936709880","N",,,,"K",12,,
"Color Me Mine","http://www.alameda.colormemine.com/",,"2205 South Shore Center","Alameda",94501,"(510) 521-8893","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminealameda","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://brentwood.colormemine.com/",,"2455 Sand Creek Road, Suite 136","Brentwood",94513,"(925) 308-4548","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form",,,"https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.dalycity.colormemine.com/",,"445 Westlake Shopping Center, Westlake445","Daly City",94015,"(650) 756-2706","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormemine.dalycity","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.elkgrove.colormemine.com/",,"7440 Laguna Blvd, Suite 100","Elk Grove",95758,"(916) 714-4943","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-Elk-Grove/339556735558?ref=ts","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.colormeminefolsom.com/",,"250 Palladio Parkway #1315","Folsom",95630,"(916) 351-9008","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminefolsom","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.fremont.colormemine.com/",,"37324 Fremont Blvd","Fremont",94536,"(510) 739-0200","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/CMMFremont","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.pleasanton.colormemine.com/",,"310 Main Street, #B","Pleasanton",94566,"(925) 251-0202","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/pages/Color-Me-Mine-Pleasanton/103664133050155","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.lafayette.colormemine.com/",,"3541 Mt. Diablo Blvd","Lafayette",94549,"(925) 299-2615","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form",,,"https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.mammoth.colormemine.com/",,"437 Old Mammoth Rd, Suite D","Mammoth Lakes",93546,"(760) 934-8911","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form",,,"https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.roseville.colormemine.com/",,"1151 Galleria Blvd #1165","Roseville",95676,"(916) 772-2828","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/ColorMeMineRoseville","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://oakridge.colormemine.com/",,"925 Blossom Hill Road","San Jose",95123,"(408) 281-8203","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/cmmsanjose","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.walnutcreek.colormemine.com/",,"1950 Mount Diablo Blvd","Walnut Creek",94596,"(925) 937-1559","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form",,,"https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://bakersfield.colormemine.com/",,"9000 Ming Avenue","Bakersfield",93311,"(661) 664-7366","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/bakersfieldcolormemine","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.brea.colormemine.com/",,"260 W. Birch Street, #5","Brea",92821,"(714) 671-2808","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/colormeminebrea?ref=hl","N","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
"Color Me Mine","http://www.calabasas.colormemine.com/",,"23641 Calabasas Road","Calabasas",91302,"(818) 222-4922","Art instruction","CA",5,18,"Y","N","Y","Drawing and Painting","Ceramics",,,,,,,,,,"Online form","https://www.facebook.com/CMMCalabasas","Y","https://www.colormemine.net/cmm_images/new_site_graphics/logo.png",,,,,"These are other locations of company you have on the website",
