"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot Lead"
"Art House Kids","http://arthousekids.com/arthouse/","ARTHOUSEKIDSWG@YAHOO.COM","912 Riverside Dr","san jose",95125,"(408) 993-9979","We Offer
-School Day Visual Art Programs
-Curriculum & Training for K-5 art classes
-After School Enrichment Programs with
over 10 programs to choose from
-Private & Small Group Studio Classes
-Corporate Team Building with ART","CA",,,"yes","yes",,"Creative Arts","Drawing and Painting",,,,,,,,,"??","webform","https://www.facebook.com/pages/Art-House-Kids/142574415788309","no","http://arthousekids.com/arthouse/wp-content/uploads/2014/08/cropped-AHK-AUGUST2014-V2.jpg","http://arthousekids.com/arthouse/wp-content/uploads/2013/09/IMG_2030-300x224.jpg",,,,,
"Art Tiles by Carla","http://arttilesbycarla.com/","artncarla29@gmail.com","208 Glen Arbor Dr","Encinitas",92024,"(760) 943-6313","I have found that sharing my creativity in teaching art to children has been a most pleasurable experience and have been since 1986, starting with art enrichment programs and continuing with volunteering in my son’s classes since he was in pre-school through elementary school. I have taught in the public and private sector, and for the last 16 years, have staged an art camp at my home every summer with the primary focus in hand building in clay. It gives me much pleasure to share my creative knowledge with students as they delight in their own process of  self expression and experiencing and mastering the art materials.","CA",5,14,"yes","yes",,"Creative Arts","Pottery","Drawing and Painting","Ceramics",,,,,,40,"per hour","phone","none","n/a","http://arttilesbycarla.com/images/global/carlaFunk.png","http://arttilesbycarla.com/images/gallery/384/P1010792.JPG",,"k",9,"mosaics",
"Randall's Art","http://www.randallwilliamsart.com/art_classes.htm",,"1112 N Beachwood Dr","Burbank",91506,"(818) 563-9475","classes by appointment","CA",,,"yes",,,"Creative Arts","Drawing and Painting",,,,,,,,,"??","phone","https://www.facebook.com/randall.williams.14418","no","http://www.randallwilliamsart.com/TEST.d1.jpg",,,,,"not sure how much he has for kids",
"Golden Key Art","http://goldenkeyart.com/","contact@goldenkeyart.com","5186 Garden Grove Ave","Tarzana",91356,"(818) 343-2365","Golden Key Art school offers art classes for kids and adults. Our academic program is designed to provide professional art training for all ages. Golden Key Art school is located in Los Angeles, CA.","CA",,,"yes","yes",,"Creative Arts","Drawing and Painting",,,,,,,"art history, russian, math, composition",20,"per hour","online","https://www.facebook.com/goldenkeyart","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1044899_269086829895943_716202790_n.jpg?oh=abd0b9d898d4d5fbb1e03a01d5dd729e&oe=55189863","https://scontent-a-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/1238078_297565213714771_2015539759_n.jpg?oh=4e1553eba0595277e466e2961f7e7900&oe=5511A34F",,,,"Painting: (acrylic, oils, watercolor)
Drawing (ink, charcoal, pencil, pastel)
Linocut
Composition
Computer Art
Art History
Russian Language
Math",
"Kazone Art","http://kazoneart.com/","contact@kazoneart.com","4850 Barranca Pkwy","Irvine",92604,"(949) 825-5179","If you want reach your dream, you are in the right place. Grasping the fundamentals of design and drawing is essential to the pursuit of a diversity of careers in various industry; to not develop these skills is simply to forever limit your potential and destiny in an increasingly competitive world.

We offer portfolio preparation curriculum that will help prospective students matriculate to premier art school in the U.S In addition, our faculties will help current art students and artists to gain the skills necessary to make a smooth transition into the work force. You will learn from best instructors, because we carefully chose our instructor based on their accolade, education, specialties, and teaching experience. This is the reason why we feel absolutely confident that we will meet and exceed your needs.","CA",14,"adult","yes",,,"Creative Arts","Drawing and Painting",,,,,,,,,"??","phone","https://www.facebook.com/kazone.art/about","no","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/251510_111284712304244_8126984_n.jpg?oh=c5f103bb29777109cca1f1d422a54e76&oe=55167664&__gda__=1423120451_60ebde0169e20432c2b317b06d14d49c","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/778746_369940289772017_2011319343_o.jpg",,,,"junior high and high school portfolio development for college applicatoins",
,"http://www.korpus-la.com/about.html",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Jagged Lines of Imagination Academy","http://www.jliacademy.org/",,,,,,,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Allan Spencer Merced Music Lessons","http://allanspencer.com/","allanspencer2006@gmail.com","1972 Woodhaven ct","Merced",95340,"(209) 761-5925",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Anam-Cre Art Studio","http://anamcre.com/kids.html",,"283 Chorro St","San Luis Obispo",93405,"(805) 544-1850",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
"SAN JOSE JUDO ACADEMY","http://www.sanjosejudoacademy.com/","sjja@sanjosejudoacademy.com","625 Wool Creek Dr, F10","San Jose",95112,"(408) 500-6444",,"CA",,,,,,,,,,,,,,,,,,,,,,,,,,
