"provider_name","website","email","street_address","city","Zipcode","Metro Area","Sales agent","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","Hot lead"
"Joseph Fine Art School","http://www.josephsfineart.com",,"125 Clement St","San Francisco",94118,"NorCal","Hailey","(415) 387-7138","Joseph Fine Art School and Gallery helps students of all ages express their artistic imaginations and develop their own unique styles through the medium of traditional Chinese visual arts. The Joseph Fine Art School was established in 1992 for children and adults interested in understanding traditional Chinese art. Our objectives are for students to learn about traditional Chinese art, to appreciate art, and to create their own art.","CA",5,99,"Yes","No","No","Creative Arts","Drawing and Painting","Ceramics",,,,,,,275,"Per semester","Phone or email","https://www.facebook.com/pages/Joseph-Fine-Art-School-and-Gallery/157302394309588?ref=br_tf","NO","http://www.josephsfineart.com/images/Header.jpg","http://www.josephsfineart.com/gallery/student/1student.jpg",,,,,
"Awesome Artist","http://awesomeartist.com",,"1011 C Ave","Coronado",92118,"SoCal","Jeana","(619) 435-4700","Awesome Artist is an art studio serving Coronado and the greater San Diego Community. We wish to create a safe, pleasant environment where EVERYONE can express themselves through art. We are a full service art studio that can tailor to both beginning and advanced artists of all ages, as well as provide customized art and graphic design to the community.","CA",3,16,"y","y","y","Drawing and Painting","Sculpture",,,,,,,,,"None listed","none",,,,"http://www.awesomeartist.com/uploads/9/1/1/8/9118982/6881481_orig.jpg",,,,"Family run. Their website is under construction (maybe new management) so not much is available to look at, there is no way to register for classes.No pricing listed.",
"Norik's Art Gallery & Studio","No website","noriksartstudio@gmail.com","6637 San Fernando Rd","Glendale",91201,"SoCal","Jeana","(818) 247-5969","We strongly believe that any instruction or verbal explanation should be accompanied by a professional demonstration and is necessary for the learning process","CA",,,"y","N","N","Drawing and Painting",,,,,,,,,,,"none","https://www.facebook.com/NoriksArtStudio","NO","https://scontent-b-sea.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/s720x720/545479_447543695281907_1723328687_n.jpg?oh=e0c9a05bc67401c977dde11c5caa09fb&oe=54C601B0","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/p526x296/10171240_661872617182346_4357251333633738453_n.jpg?oh=97c5fd35c81d7d8e340673e719ba3d37&oe=5485BD4E&__gda__=1417975977_47365bf16628e6c1952c3fc9e91e8e22",,,,"Website is down. Look at FB page.",
"Visual Arts Art School and Studio","No website","visualartsmurals@cox.net","25422 Trabuco Rd","Lake Forest",92630,"SoCal","Jeana","(949) 951-5971","I offer art classes for children and adults. I am accepting students, 6 to 90 years old, from beginners to those who are learning advanced techniques. I teach all mediums. My studio is located in Mission Viejo. The Lake Forest address is for mail use only. Please phone for class location and information.","CA",9,90,"y","N","N","Drawing and Painting",,,,,,,,,,,"none","https://www.facebook.com/VisualArtsStudioandArtSchool","NO","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/425002_459142254105888_775189555_n.jpg?oh=d4c63a73343602edce0115254bd2d49d&oe=54C9B55E&__gda__=1421857760_fbb7b63450fce0bf34ecb45a78c4a708","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/376304_459143420772438_1683227257_n.jpg?oh=7bfed34c930385b82f47bb38f26b07b3&oe=54CA36A0&__gda__=1422371113_ba6ec6071c4666946603530d44a202b7",,,,"No website. It looks like they have childrens classes but I can't find much on it.",
"Art Is Our Passion","http://artisourpassion.com","tomvioland@aol.com","5893 Kanan Rd","Agoura Hills",91301,"SoCal","Jeana","(818) 991-5514","Our hands-on approach encourages individual progress, and to eventually explore mediums and subjects of particular interest to the student to an advanced level. Each student is started in a program based on his/her age and skill level. Most students start with our Fine Arts Basics. For the older or more advanced students, placement is determined by a personal portfolio review.","CA",5,99,"y","y","n","Drawing and Painting","Sculpture",,,,,,,,,"None listed","none","https://www.facebook.com/ArtIsOurPassionAgouraHills","No","http://artfirst.org/aiop/images/stories/AIOPlogo.jpg","http://artisourpassion.com/images/Kadin_Slinger_BASICS.jpg",,,,"Have to call to sign up for classes.",
"Sheldon's Art Academy","http://sheldonsartacademy.com","sheldonsartacademy@sbcglobal.net","626 Lindero Canyon Rd","Oak Park",91377,"SoCal","Jeana","(818) 706-9444","We here at Sheldon’s Art Academy seek to provide each student with the best art education possible. The curriculum we have developed successfully combines the Florentine school used by famous Renaissance artists such as Michelangelo, Rubens and da Vinci, and the Chiaroscuro school of Rembrandt and Frans Hals. Thus, students are not only taught the linear techniques of the Florentine school, but also the tonal qualities that the Chiaroscuro school is so famous for. These centuries’ old techniques are taught with a sense of fun and humor as students are allowed to pick their own subjects and learn to draw in a relaxed studio atmosphere.","CA",11,99,"y","y","n","Drawing and Painting",,,,,,,,,,"None listed","none","https://www.facebook.com/SheldonsArtAcademy","Yes","http://www.sheldonsartacademy.com/files/3613/7462/8484/titleGraphic.jpg","http://www.sheldonsartacademy.com/files/cache/c44b6a96b20d2197bfacfc0d0cfeeb8b_f176.jpg",,,,"Have to call to register",
"Bates School Of Music Art","http://batesmusiconline.com/index.html","mkara@cox.net","9978 Campo Rd","Spring Valley",91977,"SoCal","Jeana","(619) 660-1153","Bates School of Music,Art and tutoring promotes artistic and academic success, building positive self concepts, and encourages self expression and appreciation for learning through personalized instruction in a caring environment.","CA",,,"y","n","n","Drawing and Painting","Creative Arts","Music","Tutoring",,,,,,,"None listed","none",,,"http://batesmusiconline.com/images/logo_f2.gif","http://batesmusiconline.com/images/about_us_image.jpg",,,,"No way to sign up for classes online. Might be very open to AH.",
"A B Fine Arts Studio","http://www.abfineartstudio.com/Site_2/Welcome.html","abfinearts@mac.com",,"Carlsbad",92088,"SoCal","Jeana","(760) 643-9400","At AB Fine Art studio, we believe that art is the gateway to a broader education, stronger community and culture, and the cornerstone to a well-rounded individual. Our desire is to provide a safe environment that inspires individuals to embrace their creativity. We teach students proper techniques while encouraging individuality; emphasizing the process rather than the product.","CA",5,17,"y","y","y","Drawing and Painting","Ceramics",,,,,,,,,"None listed","online form/Trustware","https://www.facebook.com/pages/AB-Fine-Art-Studio/144867815560668?sk=info","No","https://scontent-2.2914.fna.fbcdn.net/hprofile-xap1/v/t1.0-1/c15.12.155.155/148382_144867975560652_3378511_n.jpg?oh=8172f3e920ed12767c5f251482e8db7a&oe=54BDA1CA","http://www.abfineartstudio.com/Site_2/Classes_files/IMG_0318.jpg",,,,"Looks like a successful art studio with a lot of classes",
"Mings Art Studio","http://mingartstudio.com","minchiu@mingartstudio.com","4241 Fireside Cir","Irvine",92604,"SoCal","Jeana","(949) 733-0476","Ming’s teaching philosophy: 1. Starting from the innate drawing ability. 2. Expressing their emotions through the process of painting. 3. Preserving their drawing design according to their ages. 4. Expanding their imagination by providing new ideas for them. 5. Keep on building their painting techniques and color coordination. 6. Encouraging them and providing solutions for achieving their goals. 7. Helping them to transfer their ideas onto their paintings. 8. Launching the concept of three dimensionality and individual style of painting.","CA",1,18,"y",,"n","Drawing and Painting",,,,,,,,,,"None listed","none",,,"http://mingartstudio.com/icons/logo.png","http://mingartstudio.com/studentArt/2014Gallery/201403/256/AniyahShen-8.jpg",,,,,
"Snyder Susan Studio","http://susannaitaliana.com/","susannapottery@gmail.com","2400 Kettner Blvd Ste 212","San Diego",92101,"SoCal","Jeana","(619) 665-5522","We will create functional and sculptural pottery pieces using different techniques: coil building, slabs and pinch pots. We will learn different decorative techniques using slip and glaze.","CA",,,"y","n","n","Ceramics",,,,,,,,,225,"Per session","none","https://www.facebook.com/SusannaItalianaPottery","NO","http://static.squarespace.com/static/50e98a3fe4b0404f376ed01a/t/50e9902ae4b07dba60092b73/1411644851722/?format=1500w","http://static.squarespace.com/static/50e98a3fe4b0404f376ed01a/t/53ecb1c3e4b0afa103672425/1408020936478/?format=1500w",,,,"Looks like she has moved her business to Indiana per her facebook page.",
