"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","NOTES","Hot Lead"
"Elaine's Dance Studio","http://elainesdance.com/","elainemccarthy@sbcglobal.net","2525 C Soquel Dr","Santa Cruz","CA",95065,"831-479-9133","Elaine offers the best, most unique training available to young dancers, with extraordinary instructors, fun choreography, high excitement, and, of course, that fabulous end-of-season recital in June! Elaine’s Dance Studio offers Tap, Jazz, Ballet, Hip Hop, Musical Theater, and Kids Combo classes. We teach all levels and ages including special Preschool classes.",3,18,"Yes","No","No","Dance","Tap","Ballet","Jazz","HipHop","Drama/Theater",,,,,,25,"Per_class","The Studio Director","https://www.facebook.com/pages/Elaines-Dance-Studio/132551206776731","No","http://elainesdance.com/wp-content/uploads/2014/11/logo1.png","https://scontent-b.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10525964_843859435645901_1277988959210996286_n.jpg?oh=6e81469b8bfc4e7039acb7abac2162bd&oe=551DB48C",,
"Ciara Dance","http://www.ciaradance.com/","http://www.ciaradance.com/","21250 Califa St#105A","Woodland Hills","CA",91367,"(818) 888-7744","For over 24 years, Ciara Dance has built a reputation based on the exceptional quality of our teaching and our caring family atmosphere. Our mission is to develop our students to their fullest potential in a supportive and non-competitive environment, while instilling a love for the art of dance. At Ciarra dance, we train all types of dancers, from beginners to professionals, including children, teens and adults.",2.5,99,"Yes","Yes","No","Dance","Tap","Ballet","Jazz","HipHop","Pointe","Contemporary",,,,,25,"Per_class","DanceWorksOnline","https://www.facebook.com/Ciaradanc","Yes","http://www.ciaradance.com/wp-content/uploads/2012/07/300x118-logo.png","http://www.ciaradance.com/wp-content/gallery/gallery-1/6.jpg",,
"Attitude Plus! Dance Studio","http://www.attitudeplusdance.com/","attitudeplusdance@gmail.com","4807 Greenleaf Ct","Modesto","CA",95356,"(209) 545-2534","At Attitude, Plus! Dance Studio, our goals are simple.  We don't only teach dance lessons, we aim to teach life lessons. We teach age appropriate dances. We believe in the power of positive feedback. We believe everyone has the ability to be great and we let our dancers know it! We do not focus on competition and absolute perfection. We provide a professional dance education in an encouraging and stress-free environment. We strive to be positive role models to all of the dancers. A+ is not a competition studio. We provide helpful criticism and feedback, but we also mix in the laughs from time to time! We want each of our dancers to know that we believe in them. and their ability to be great.",3,18,"Yes","No","Yes","Dance","Tap","Ballet","Jazz","HipHop","Pointe","Contemporary",,,,,27,"Per_class","The Studio Director","https://www.facebook.com/aplusdancestudio","N/A","http://static.wixstatic.com/media/5dbc14_65653273f8b2af110a24abbcb66c4abf.png_srz_p_445_105_75_22_0.50_1.20_0.00_png_srz","https://scontent-a.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10462994_719354864794334_6983842705492080499_n.jpg?oh=ff96a025a261b50592cdd609d9610f44&oe=550C95A4",,
"America's Kids","http://swimandtumble.com/","office@swimamericafresno.com","1305 N. Willow #150","Clovis","CA",93619,"(559) 324-7946","Our mission is to develop healthy, happy, confident, responsible children who love to learn. We bring fun and fitness to our students through movement based learning in a safe, challenging, and inspiring environment. We teach our students to enhance their mental and physical capabilities while developing their greatest potential. We provide an educational foundation to facilitate mastery and refinement of life long skills. Our DanceAmerica program educates your child in all forms of dance while fostering their creativity and challenging their cognitive, language, and social abilities.  We offer programs in swimming, gymnastics, and cheerleading, as well as camps.",1,99,"Yes","Yes","Yes","Dance","Tap","Ballet","Jazz","HipHop",,,,,,,35,"Per_class","Class Pro","https://www.facebook.com/swimandtumblekids?sk=app_4949752878","Yes","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/1653598_756308997740169_6458854484506329424_n.png?oh=6bb0485278025354342a3c52b0191bd5&oe=551CEBB5&__gda__=1427428408_e581d311216b1a400d21d4e29b4e66fd","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1512450_763535460350856_1958094768810256501_n.jpg?oh=c6836ec5e375499b21fe97a529bf00a1&oe=54D19A5F&__gda__=1426745028_f4c368ac76b3b6e0f6c7594ba0af7f63","Has many other activities, including swimming and gymnastics.",
"In Sync Dance","http://insyncdanceofauburn.com/","insyncdance@juno.com","4055 Grass Valley Highway","Auburn","CA",95602,"530.823.6782","Started in 2002 by Jessie and Kevin Krick at a previous small studio off Palm Avenue in Auburn, their goal was to create an ideal academy in which children could grow, thrive, and work as a team through the art of dance while at the same time learn about the spirit of community volunteerism.  We offer classes for kids and adults in many types of dance.",2,99,"Yes","No","No","Dance","Tap","Ballet","Jazz","HipHop","Pointe","Contemporary","Voice",,,,30,"Per_class","PDF","https://www.facebook.com/pages/In-Sync-Dance-of-Auburn/160151704033839","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/168169_160151750700501_6454137_n.jpg?oh=c46f167860ab93604e898d1389976585&oe=54D832AA&__gda__=1423931047_b9e519e6a87c1eb0196f4f5065471fdc","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv22H3CKYbjhSMqHmZ_HYuTHChPtm1U2V7FwOFXGVbxdui3n5ytA",,"Yes"
"Oceanside Dance Academy","http://oceansidedance.com/","jeliwilson@oceansidedance.com","4095 Oceanside Blvd. Suite G","Oceanside","CA",92056,"(760) 940-6161","The Oceanside Dance Academy is a professional dance school devoted to creating a positive performing arts environment for all age groups. We believe the quality of our dance environment enriches the lives of our dancers, encouraging a powerful outlet for freedom of expression, creativity, and confidence. We offer classes from ages 18 months to adults.",1.5,99,"Yes","No","No","Dance","Tap","Ballet","Jazz","HipHop","Contemporary",,,,,,60,"Per_class","JackRabbit","https://www.facebook.com/oceansidedance?fref=ts&rf=150902761617552","Yes","http://oceansidedance.com/wp-content/uploads/2012/09/cropped-oda_header_phone1.png","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10374525_764879010243632_4975685525762187685_n.jpg?oh=8cc94e02f605144d69d17889f0043162&oe=551B49BC&__gda__=1427042006_03e5ee2bb9f25403e5317c14a1de50d9",,
"Ann's School of Dance","http://www.annsdancevc.com/",,"28630 Valley Center Rd","Valley Center","CA",92082,"(760) 749-1617","Since Ann's School of Dance opened in Valley Center in 1977, thousands of local children and teens have gained self-esteem, poise, confidence and improved posture while learning an art form that will enhance their lives forever. Our goal is to discover and develop the varied talents that spark an enthusiastic appreciation and understanding of the arts through music and dance. By offering the variety of dance forms, we provide an opportunity for individual creativity for children and adults.",3,99,"Yes","No","No","Dance","Tap","Ballet","Jazz","Lyrical",,,,,,,,,"Phone","https://www.facebook.com/AnnsschoolofdanceVC","No","http://nebula.wsimg.com/5afa3c58985452dc138bca5be06eb3e1?AccessKeyId=1B5A356010480D773599&disposition=0&alloworigin=1","http://nebula.wsimg.com/e3bd23b1d681faced403cbb4d2469979?AccessKeyId=1B5A356010480D773599&disposition=0&alloworigin=1","No pricing info on site","Yes"
"Sonoma Academy of Dance","http://sonomasummercamps.com/sonoma-dance/","sonomadancearts@aol.com","252 West Spain Street","Sonoma","CA",95476,"707-933-9933","SADA is thrilled to be offering another great year of dance classes in Sonoma! Our program is held in the beautifully renovated Burlingame Hall at 252 West Spain Street. The Spacious Hall has high Ceilings, beautiful natural light, a brand new dance floor & the location is ideal! Sonoma Dance prides ourselves on our excellent instructors & the quality of our program. Our Dance classes move in a structured progression from one level to the next, all while maintaining our number one focus, having FUN! We offer classes for kids 2-12.",2,12,"Yes","Yes","No","Dance","Tap","Ballet","HipHop",,,,,,,,64,"Per_month","online form","https://www.facebook.com/pages/Sonoma-Academy-of-Dance-Arts/159035417450945","N/A","http://sonomasummercamps.com/wp-content/uploads/2013/11/dance.png",,,
"San Diego Academy Of Ballet & Ballet Theatre","http://www.sdab.org/","sdab.org@gmail.com","4696 Ruffner St","San Diego","CA",92111,"858 496 0800","San Diego Academy of Ballet and Ballet Theatre brings to San Diego a not-for-profit ballet school founded upon the finest tradition of Russian classical ballet known worldwide. SDAB studios are designed for dancers and are unique to San Diego. They include 7500 square feet of unobstructed studio space (heated in the winter), specially designed sprung wood floors covered with Harlequin studio flooring, a baby grand piano, and shower facilities. SDAB offers a comprehensive ballet curriculum in a positive and supportive environment that encourages each student to fulfill his or her highest potential as a dancer. Students who aspire to become professional dancers will receive the challenge and training to do so with the opportunity to perform with Ballet Theatre. All students will discover the joy of movement, physical beauty, confidence, poise and discipline of ballet.",2,99,"Yes","No","No","Dance","Ballet","Pointe",,,,,,,,,157,"Per_session","PDF","https://www.facebook.com/pages/San-Diego-Academy-of-Ballet-Ballet-Theatre/170287004646","No","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/p160x160/10177370_10152746987034647_5127878944724901092_n.png?oh=409ed6d301a7cb9fe05de87aacd95ebc&oe=5515CFB9&__gda__=1427274024_1bb96c196ea8769f96b3b8aa5c9d0a34","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/1000204_10151722919974647_1954669748_n.png?oh=46f815a2457859a6b6f89039f1673e9b&oe=551BB185&__gda__=1423065839_2ab2b2ebc7d0b6c992d8faac5c58a76d",,
"South Bay Dance Academy","http://southbaydanceacademy.com/",,"4370 Palm Ave Ste H","San Diego","CA",92154,"(619) 395-1316","We offer a full range of dance disciplines and levels. All classes are structured and follow set syllabi. Each Syllabus is progressive and reflects a level of training and achievement required to successfully complete each grade. These standards of training are established by and are in compliance with our affiliated dance organizations -The Royal Academy of Dance and The Imperial Society of Teachers of Dance.",3,18,"Yes","No","No","Dance","Ballet","Tap","Jazz","HipHop",,,,,,,50,"Per_month","unclear","N/A","N/A",,,"Minimal info on website. No usable pics on site, no fb page.","Yes"
