"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Synergy Dance Zone","http://www.synergydancezone.com/Classes/page20/index.html","syndance@san.rr.com","7480 Miramar Road","San Diego, CA",92126,"(858) 578-7111","Classes in Ballroom, Latin, Salsa, and Swing taught by award winning Teacher, Competitor, Coach, & Choreographer Peter Edwards","CA",,,"Y","N","N","Dance","Ballroom","Latin",,,,,,,15,"per_class","not online","https://www.facebook.com/pages/Synergy-Dance-Zone/230862326924247","N","No","No","?",,,
"Benicia Ballet School, LLC","http://www.beniciaballet.org/","info@beneciaballet.org","938 Tyler St","Benicia, CA",94510,"(707) 746-6757","Classes in Ballet","CA",6,"adult","Y","N","N","Dance","Ballet",,,,,,,,,"per_class","not online","https://www.facebook.com/pages/Benicia-Ballet/37481059130","N","url(http://www.beniciaballet.org/wordpress/wp-content/uploads/2014/05/bbheaderlogofull22.png) no-repeat !important","<img src=""http://www.beniciaballet.org/wordpress/wp-content/uploads/2014/05/Tara_and_Evan_Nut_2013_for_postcard-900x800.jpg"" alt="""" class=""msDefaultImage"" height=""800"" width=""900"" draggable=""false"">",,,,
"Angela Van School Of Ballet","http://www.angelavanballet.com/index.html","angelaballet@hotmail.com","41923 Osgood Rd.","Fremont, CA",94539,"(510) 490-2858","Classes in Ballet","CA",3,"adult","Y","N","N","Dance","Ballet",,,,,,,,70,"per_class","not online","https://www.facebook.com/angelavanballet?ref=br_tf","N","No","No",,"pre-k",,
"Cerrito Dance Arts Center","http://cerritodancearts.com/","dance@cerritodancearts.com","1534 Kearney St","El Cerrito, CA",94530,"(510) 234-2780","All children benefit from dance as it develops their self-esteem and confidence while they explore their creative potential. We believe in a positive approach to teaching as students enjoy being challenged with age-appropriate skills in a non-competitive setting. Working with music, movement, rhythm and memory impacts and broadens all parts of your daily life.","CA",5,"adult","Y","N","N","Dance","Ballet","Tap","HipHop","Jazz",,,,,13,"per_class","not online","https://www.facebook.com/cerritodancearts","N","No","<img src=""http://cerritodancearts.com/wp-content/uploads/2011/08/cropped-ballet.jpg"" width=""1000"" height=""288"" alt="""">",,"K",,
"Carousel Dance Studio","http://carouseldancestudio.com/",,"23715 Roscoe Boulevard","West Hills, CA",91304,"(818) 347-9926","Carousel Dance Company is committed to the art of dance. We believe that dance facilitates communication within and across cultures and is essential to a healthy society. Our mission is to instill passion, confidence, self-expression and appreciation for music and dance as well as inspire our dancers to further enhance their knowledge and skills of dance, work diligently, respect one another’s differences and be active in our community. - See more at: http://carouseldancestudio.com/about-us/#sthash.KjspdC3t.dpuf","CA",,"adult","Y","Y","N","Dance","Ballet","Tap","Jazz","HipHop",,,,,,"Not Given","PDF, online form","https://www.facebook.com/pages/Carousel-Dance-Studio/449631718419049","N","No",,,1,,
"Beach Cities Dance","http://www.bcsdance.com/","starsdir@aol.com","18956 Brookhurst St.","Fountain Valley, CA",92708,"(714) 963-2110","BCDS is a family friendly dance studio. We are here to teach your child all about dance and the many style of dance. We offer dance for children 3 year of age to 19. Along with that we have a great work-out program for adults.We offer Two Weeks Free dance class to all new children. No special dance clothes required to start.","CA",,,"Y","N","N","Dance","Ballet","HipHop","Jazz","Tap","Lyrical","Contemporary",,,,,"online form","https://www.facebook.com/BeachCitiesDanceStudio","N","No",,,,,
"Ballare Dance Centre","http://www.ballaredancecentre.com/","Misskellydancer@yahoo.com","7011 Realm Drive A1","San Jose, CA",95119,"(408) 225-4600","Ballare Dance Centre offers classes in Ballet, Tap, Jazz, Lyrical, Hip- Hop, Creative Dance and ZUMBA for children and adults. Our goal at Ballare Dance Centre is to place you child in the style of dance or movement class they wish to take as well as in an age appropriate and level appropriate atmosphere. Each dancer should be comfortable in the dance environment they are in so they can have the best possible dance experience. We LOVE to dance and want to share that with each and every dancer!","CA",4,"adult","Y","Y","Y","Dance","Ballet","Jazz","Tap","HipHop","Lyrical",,,,,"Not Given","PDF","https://www.facebook.com/pages/Ballare-Dance-Centre/179843362047780","N","No",,,,,
"Evolution Dance Center Inc","http://www.evolutiondancesandiego.com/",,"7740 El Camino Real, Suites J & K","Carlsbad, CA",92009,"760-753-2002","Evolution Dance Center offers many classes to meet the needs of our dancers. Listed below are the different types of classes that are offered. Check out the schedule to see what classes we offer.","CA",2,"adult","y","n","n","Dance","Ballet","Tap","Jazz","HipHop","Lyrical",,,,,"not Given","Not online","https://www.facebook.com/EvolutionDanceSanDiego","n","<a href=""http://www.evolutiondancesandiego.com/"" title=""Evolution Dance"">Evolution Dance</a>","No",,,,
"Lompoc Dance Studio (419)","http://lompocschoolofdance.com/Lompoc_School_of_Dance/Lompoc_School_of_Dance.html",,"311 N F St,","Lompoc, CA",93436,"805-736-9501","Founded in 1972, the Lompoc School of Dance (then known as the Lompoc Dance Studio) has been offering quality dance training in a professional environment for over 37 years.  We offer classes in classical ballet, jazz, contemporary, lyrical, tap and hip-hop for the beginning to advanced dancer.  Our objective is to acquaint students with as many diverse forms of dance as possible. Class placement is age appropriate with an emphasis on confidence and positive attitude.  We believe that the self-discipline and motivation that dance training develops benefits both the recreational and pre-professional dancer. We work to develop well-rounded and mature youth through experience with the art of dance.  As a result, many of our former students have gone on to successful teaching and performing careers throughout the world.

As an important part of their training our students perform in our annual gala production.  This is an excellent opportunity to show their progress both technically and stylistically. They also learn how to conduct themselves in a professional manner.  Throughout the year our advanced dancers give performances for various community organizations as well as participate in competitions in the Southern California region.","CA",3,"adult","y","y","n","Dance","Ballet","Tap","Jazz",,,,,,,"not Given","not online","https://www.facebook.com/pages/Lompoc-School-of-Dance/151948068096?rf=524009047623183","n","no","no",,,,
"Sue's Performing Stars Dance Studio","http://suesperformingstars.com/","dancewsue@sbcglobal.net","Sue’s Performing Stars Dance Studio : 1025 Terra Nova Boulevard","Pacifica CA",94044,"650-359 7493 
650-359 2968","Everyone loves Sue and her Sue’s Performing Stars Dance Studio located in Pacifica.
It′s easy to love Sue, because her enthusiam is contagious. With enrollment at 130 students with ages ranging from 2 to 82 years old, it doesn’t matter your age. Just keep dancing!","CA",2,"adult","y","n","n","Dance","Ballet","Tap","Jazz",,,,,,48,"per_month","not online","https://www.facebook.com/pages/Sues-Performing-Stars-Dance-Studio/160001904028822","n","<img class=""custom-header-image"" src=""http://suesperformingstars.files.wordpress.com/2012/02/suelogo10.png"" width=""885"" height=""252"" alt="""">",,,,,
