"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url",
"Siskiyou Dance Co.","http://www.siskiyoudance.com/","siskiyoudance@gmail.com","590 Main St","Weed",96094,"(530) 938-4755","Tap, ballet, jazz, hip hop, modern, swing, latin and other dance classes. Please see Discussions for class schedule.","CA",,,"yes",,,"Dance",,,,,,,,,,,"webform","https://www.facebook.com/pages/Siskiyou-Dance-Company/109836865744892","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-ash2/v/t1.0-9/600239_542334009161840_1993869436_n.jpg?oh=021cfd3ccd586806ec888a24caad91e9&oe=551A6D81","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10334459_692572670804639_2033918015115085839_n.jpg?oh=20b78631e99696c72b583ba08d78bfbd&oe=54D9C77D",
"5678 Dance Studio","http://www.5678dancemodesto.com/","info@5678dancemodesto.com","1369 Standiford Ave","Modesto",95350,"209-523-5678","5*6*7*8 Dance Studio was established in the fall of 1994 by Danette Tomasello and Tamie Griffith.  Over the past 19 years they have been able to establish a dance program to instill the love of dance in their students.

5*6*7*8 Dance Studio offers dance instruction for students eighteen months of age and older.  Styles of instruction include pre-dance, ballet, jazz, tap, contemporary, lyrical,pointe and hip-hop.   In all classes, the students will be exposed to the technique, musicality and artistic expression that make dance classes at 5*6*7*8 Dance Studio an enjoyable and a healthy experience for the mind and body.   We have an accelerated program for those students who want more serious training and performance opportunities in all areas of dance. We also offer a full schedule of challenging and recreational classes for all styles and age groups.  We have a national award winning Dance Company.   Whether your dream is to become a ""professional dancer"" or just to experience the joy of ""dancing"" we know we can help you to fulfill your dreams.","CA",1,18,"yes",,,"Dance",,,,,,,,,,,"webform","https://www.facebook.com/pages/5678-Dance-Studio/298311836312","yes","http://www.5678dancemodesto.com/images/logo.gif","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10659333_10152417009126313_5932919142166957426_n.jpg?oh=6ecd09cc97c01b596a00706a62cb63fc&oe=5519A4CC&__gda__=1427862490_c8e8dc91ca8e127bb63b45cfef609bf3",
"Cornerstone Dance","http://www.cornerstonedance.org/","director@cornerstonedance.org","394 5th St","Gustine",95322,"(209) 854-9088","Cornerstone Dance is located in Gustine Ca. We offer dance classes to ages 2 1/2 and up. The styles we teach are lyrical, ballet, jazz, tap, hip hop, and pointe. At Cornerstone we provide a fun and postitive atmostphere.","CA",2.5,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/cornerstonedance","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/24511_116008278410524_1538888_n.jpg?oh=ee23c9e2ae7a45da64f3641d243c4175&oe=5512B4BA","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10685603_837279869616691_7160459901673647026_n.jpg?oh=de382d9a80ac7ff85277f23b53a8a74c&oe=55193822&__gda__=1427509246_6d43721a107694b57e8787f33daefb83",
"Dance Live Dream Center","http://centerforthedance.wordpress.com/","monicasdance@aim.com","20391 Anita Ave","Castro Valley",94546,"(510) 340-1588","o empower individuals and be healthy with our mind, body, and spirit. It is imperative that music, dance, and drama thrive! It’s the balance we need in times of uncertainty and stress. Good music and dance feeds the soul and it reminds us of who we are. It transcends us beyond ourselves and inspires us to be the best we can be.

We are looking to connect with individuals, organizations and foundations that share our vision. Please contact our office if you would like to help us by providing information to follow-up on, introducing us to individuals to contact, or contributing financially yourself. Thank you.","CA",3,16,"yes",,,"Dance",,,,,,,,,50,"per month","phone","none","n/a","http://centerforthedance.files.wordpress.com/2012/04/heartmusic1.jpg?w=127&h=150","none found",
"Robin's Freelance Dance","http://robinsdance.com/","info@robinsdance.com","10791 Avenida Playa Veracruz","San Diego",92124,"(619) 813-6170","Robin Brumley has been teaching dance in the San Diego community for over ten years. She earned her Bachelor's of Arts in Dance from San Diego State in 2007 but her extensive dance training started at the young age of eight. Her original choreography has won many top awards at local competitions as well as her students ranking in the top ten in National Competition. Along with her dance and choreography abilities she has also had experience running a successful local dance studio for the past five years. Robin is skilled at teaching dancers ages two years old and greater and from beginning to advanced competition levels.","CA",2,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/RobinsDance","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10449463_546272195477405_6039063730965744821_n.jpg?oh=7ba0bc47d7d9a091bed7b9d749853079&oe=55184EB1","http://robinsdance.com/yahoo_site_admin/assets/images/Piggies_SD_Fair_2012.212214141_std.jpg",
"Releve Studios","http://www.relevestudios.com/","webform on site...none listed","18356 Oxnard St","Tarzana",91356,"(818) 343-7353","Relevé means to lift up...
...and that's what we do.  We lift up our clients.  Our goal is to foster a love for creating and performing while building skills and confidence in our clients,  I'm elated to say that I see that happening every day.  There is no greater reward than to see a client accept and believe in their unique self and develop their gifts.  What a joy to see a client grow and progress!

Relevé is more than a performing arts studio.  It's a community of people passionate about building each other up and supporting and encouraging each other to grow. I would love nothing more than for you to come see what I'm talking about.  Let us lift you and your loved one up!","CA",2,18,"yes",,,"Dance",,,,,,,,,60,"per month","phone","https://www.facebook.com/relevestudios","yes","http://www.relevestudios.com/assets/images/logo_menu.gif","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10308395_751375488232126_50291609382141840_n.jpg?oh=a12f046344ec8b62470e2df9b81170e6&oe=54D48195",
"Empire Acro Gymnastics","http://www.empireacrogymnastics.com/4.html","info@empireacrogymnastics.com","3583 Market St","Riverside",92501,"(951) 248-1112","Empire AcroGymnastics is the home of Eight USA Gymnastics National Team Members.  

We offer classes in competitive acrobatic gymnastics along with a pre-team.

Both of our Competitive Teams have several National Titles to their credit.

Our Elite Trio won Gold at Nationals in Orlando, Florida on July 23, 2010.  The Elite Trio also won a Silver Medal May 2010 in Russia


We offer classes in Tumbling for athletes walking age through adult.

Punch Card Classes are available for Jr. High, High School and College students who need to learn to tumble for cheer.","CA",3,,"yes",,"yes",,,,,,,,,,50,"per month","phone","https://www.facebook.com/pages/Empire-Acro-Gymnastics/165316083479377","no","http://www.empireacrogymnastics.com/images/image002.jpg?780","http://www.empireacrogymnastics.com/img/main/mi1_798.jpg",
"Dance Works","http://www.danceworksoc.com/","info@danceworksoc.com","25421 Trabuco Rd","Lake Forest",92630,"(949) 768-5678","For over 25 years, Dance Works has been training generations of dancers of all levels and all aspirations.  Dance Works instills the love of dance in the most supportive environment.  

Our mission is to create a warm and inclusive environment with the purpose of training students for a life-long love of dance - whether the goal is pursuing a professional career or just for fun.","CA",2.5,,"yes",,,"Dance","Ballet","HipHop","Tap","Lyrical","Jazz",,,,55,"per month","phone","??","??","http://www.danceworksoc.com/uploads/2/2/9/9/22992914/1407357965.png","http://www.danceworksoc.com/uploads/2/2/9/9/22992914/1410905182.jpg",
"The Claddagh School Of Irish Dancing","http://www.claddaghdance.com/","info@claddaghdance.com","1144 Norwood Ct","Ventura",93004,"(805) 672-0167","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/pages/Claddagh-Irish-Dancers/139514122769162","no","http://www.claddaghdance.com/images/Irish-Dancing-logo-300.jpg","http://www.claddaghdance.com/image/68439885.jpg",
"The Claddagh School Of Irish Dancing","http://www.claddaghoc.com/","claddaghoc@gmail.com","23211 Cherry Ave, Ste P","Lake Forest","92630-5348","(949) 457-6121","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,75,"per month","phone","https://www.facebook.com/pages/Claddagh-OC-Irish-Dance/218091874878200","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p417x417/251096_218093964877991_3751564_n.jpg?oh=ce528541010b5f3fdb764a5855414d26&oe=551CC941","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p417x417/555153_371984026155650_2010524720_n.jpg?oh=16932edbbcfa79fc874e6f8664d5680a&oe=551E8D33&__gda__=1427523718_915e5c9c3d957bcf6897942d173d404c",
"The Claddagh School Of Irish Dancing","http://www.claddaghoc.com/","claddaghoc@gmail.com","3202 E. Willow Street","Signal Hill",90755,"(949) 457-6121","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,75,"per month","phone","https://www.facebook.com/pages/Claddagh-OC-Irish-Dance/218091874878200","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/p417x417/251096_218093964877991_3751564_n.jpg?oh=ce528541010b5f3fdb764a5855414d26&oe=551CC941","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/p417x417/555153_371984026155650_2010524720_n.jpg?oh=16932edbbcfa79fc874e6f8664d5680a&oe=551E8D33&__gda__=1427523718_915e5c9c3d957bcf6897942d173d404c",
"The Claddagh School Of Irish Dancing","http://www.claddaghsb.com/","claddaghsb@gmail.com","Veterans Memorial Bldg.  112 W. Cabrillo,","Santa Barbara",93101,"(805) 672-0167","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,75,"per month","phone","https://www.facebook.com/pages/Claddagh-Irish-Dancers/139514122769162","no","http://www.claddaghdance.com/images/Irish-Dancing-logo-300.jpg","http://www.claddaghdance.com/image/68439885.jpg",
"The Claddagh School Of Irish Dancing","http://www.claddaghdance.com/claddagh-san-luis-obispo.html","rachelle@claddaghdance.com","2324 Broad Street","San Luis Obispo",,"(805) 490-9209.","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/pages/Claddagh-Irish-Dancers/139514122769162","no","http://www.claddaghdance.com/images/Irish-Dancing-logo-300.jpg","http://www.claddaghdance.com/image/68439885.jpg",
"The Claddagh School Of Irish Dancing","http://www.claddaghdance.com/claddagh-simi-valley.html","rachelle@claddaghdance.com","1542 E. Los Angeles Ave","Simi Valley","93065-3587","(805) 490-9209.","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/pages/Claddagh-Irish-Dancers/139514122769162","no","http://www.claddaghdance.com/images/Irish-Dancing-logo-300.jpg","http://www.claddaghdance.com/image/68439885.jpg",
"The Claddagh School Of Irish Dancing","http://www.claddaghdance.com/","claddaghmurrieta@yahoo.com","26499 Jefferson Ave Suite K","Murrieta",92562,"(951) 304-1015","Claddagh Dance Company is the premier Irish dancing school in Southern California.  Claddagh Dance has added a touch of authentic Irish culture to the lives of Southern California communities since 1985. Students range from four to adult, learning a mix of solo and group dances in the traditional soft and hard shoes.
Claddagh is proud to include over fifty North American Championship Irish dancers in solo and team events, as well as overseas Champions. The dance school is under the direction of Máire O’Connell who moved to Ventura, California from Galway, Ireland in 1978.  Ms. O’Connell has been dancing most of her life and is fully accredited to teach and adjudicate by the Irish Dancing Commission of Ireland. She has previously been active in the Irish-American community as a speaker and a judge at a variety of events, as well as a past President of the Irish American Club of Ventura. Máire is a 1995 honoree of the city of Los Angeles for her participation in the Irish Community of Southern California. In Irish dancing, she has previously been President of the Western Region of Teachers and Adjudicators. In 1999, she was invited to judge the All Scotland’s, All Ireland’s (the nations' Irish Dance Championships), and the World Championships in Ennis, Ireland.","CA",4,,"yes",,,"Dance",,,,,,,,,,,"phone","https://www.facebook.com/CladdaghIrishDanceMurrieta","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10313452_764478820263320_5646383268750542161_n.jpg?oh=7f9b6d4d9344c57ddbcd779e828a9844&oe=54E2C9FC","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/249227_202278629816678_2997255_n.jpg?oh=bd8e53d91bf6fa24d660c04981ff85c3&oe=54D1F121&__gda__=1423666551_e2ece55526833377df3008257795661b",
"Dance Arts Project","http://www.danceartsproject.com/danceartsproject/Home.html","danceartsproject@me.com","1201 Chestnut St","Alameda",94501,"(510) 521-2270","Dance Arts Project is a children’s dance school dedicated to preserving and teaching dance as an art form. One of the best investments you can make in your child’s future is in dance training. In addition to coordination and self-discipline, dance helps a child develop self-esteem by allowing him or her to express thoughts and feelings through movement.","CA",4,,"yes",,,"Dance","Ballet","Pointe",,,,,,,60,"per month","phone","https://www.facebook.com/DanceArtsProject#","no","http://www.danceartsproject.com/danceartsproject/Home_files/DAP%20logo%20invertedCopy.jpg","https://scontent-a-ord.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10450824_716890418367200_2643225445435357863_n.jpg?oh=277d6d177694a7d756a719868e1025a5&oe=55158E5B",
"Arthur Murray Dance Studio - Kids Program","http://www.escondidodancestudio.com/","amescondido@att.net","330 W Felicita Ave Ste C4","Escondido",92025,"760-747-0684","Arthur’s Kids

Arthur’s Kids is a new and innovative music and dance program for children. You will be pleased with the ease of progress and enjoyment your child will experience through qualified and enthusiastic instruction. The Arthur’s Kids program is a fun and easy introduction to music and dance. The program teaches rhythm and timing with dance and creative movement. Students will learn basic dance skills through creative movement, dance and music games, and the introduction of popular social dances. Students may learn basics to Waltz, Foxtrot, Tango, Swing, Salsa, Rumba, Cha Cha, Hustle, and more!! For more information please contact our Escondido studio at 760-747-0684.","CA",,,"yes",,,"Dance","Ballroom",,,,,,,,,,"phone","https://www.facebook.com/pages/Arthur-Murray-Dance-Studio-Escondido/668970369888923?ref=br_rs","no","http://www.escondidodancestudio.com/wp-content/themes/simplegray/images/logo.jpg",,
"Temecula Dance Company","http://www.temeculadancecompany.com/","info@temeculadancecompany.com","28404 Felix Valdez Ave","Temecula",92590,"(951) 699-9952","Temecula Dance Company was established in 1992 and is the largest dance studio in Riverside County.  Three locations serve over 2500 dancers ages 9 months to adult with over 35,000 square feet and 21 dance rooms.  Instruction includes beginning to advanced levels in tap, jazz, ballet, and hip hop, in addition to combo classes, tiny tots and wee ones.","CA",1,,"yes",,,"Dance","Ballet","HipHop","Jazz","Tap","Voice","Acting",,,61,"per month","phone","https://www.facebook.com/tdanceco?ref=br_tf","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/t31.0-8/p417x417/220636_202520529790308_3331899_o.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/198276_410665692309123_2138034438_n.jpg?oh=7117ae6daba3f0c94107b203d0a6a97c&oe=551E0EAE&__gda__=1424041767_bd0c73ed76eff4702970449ebee93f51",
