"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"Lynn's Dance Arts",,"Lynnsdancearts@gmail.com","495 Sycamore St","Gridley",95948,"(530) 846-1019","Dancing instructions ,  Core classes of Jazz, Hip Hop, Lyrical Ballet, Classical Ballet, Pointe, and  Tap","CA",3,,"yes",,,"Ballet","Pointe","HipHop","Tap","Jazz",,,,,,,,,,,"http://3.bp.blogspot.com/_1o4wm-I9_1Q/R9GTfQkWyyI/AAAAAAAAAA0/qiYvLHSu9AM/S150/dance+6.jpg, http://1.bp.blogspot.com/_1o4wm-I9_1Q/R9GTUwkWyvI/AAAAAAAAAAc/o7cf3Vvv_WQ/S150/dance+3.jpg",,"kindergarden",,
"Academy Of Dance","http://academyofdance.yolasite.com","contact@academyofdance.org","2431 N Tustin Ave","Santa Ana",92705,"(714) 571-0443","Dancing instructions , ballet, modern, jazz, tap, cheer, musical theater, hip hop,Enchanted Doorway,  Repertoire

and more","CA",2.5,,"yes",,,"Jazz","HipHop","Ballet","Tap","Pointe","Contemporary",,,,,,"pdf",,,,"http://i2.ypcdn.com/blob/62417be9237682cf0184640ed2a7c1b39da751f6_90x90_crop.jpg","Cabrillo Park",,,
"City Dance Studios","http://citydance.org/","mvsf@mac.com","10 Colton St","San Fransisco",94103,"(415) 297-1172","Dancing instructions, Jazz, Ballet , Hiphop, breakdancing, popping, kizomba, top rocking, Zumba, house, samba, brazilian zouk","CA",,,"yes","yes",,"Jazz","HipHop","Ballet","Breakdance",,,,,,,"14$ per session",,,,,"http://s3-media1.fl.yelpcdn.com/bphoto/THSPc8n-ZjlEM7rzSHNryw/ls.jpg , http://s3-media4.fl.yelpcdn.com/bphoto/WCJQknG1LUBDwaoyrFmfxg/ms.jpg","Soma, Central East San Francisco, Southeast San Francisco, South of Market",,,
"Victoria's Simply Dancing","http://www.victoriassimplydancing.com/","http://www.victoriassimplydancing.com/","22455 Alessandro Blvd Ste 119","Moreno Valley",92553,"(951) 653-8202","Dancing Instruction, Dance Companies","CA",,,"yes",,,"Jazz","HipHop","Ballet","Lyrical",,,,,,,"40 - 235$ monthly",,,,"https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/37638_143883895637481_4327470_n.jpg?oh=0eeee22d0375c46ba5b83ff9f2c328bb&oe=54F41401","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxQTEhMUExQWFRUUGRcaGRgYGBgYHxYaGhUWGBsYHRkYHCggGBsmHRQXITEhJSkrLi4uGB8zODMsNygtLiwBCgoKDg0OGhAQGiwlICQsNywsNSwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsLCwsKzcsLDcsLCwsNywsLCssKysrN//AABEIAIAAgAMBIgACEQEDEQH/xAAbAAADAQEBAQEAAAAAAAAAAAAEBQYDAgEHAP/EADQQAAECBAQEBQMEAgMBAAAAAAECEQADBCEFEjFBBlFhgRMicZHBMqGxFELR8FLxI4LhFf/EABkBAAMBAQEAAAAAAAAAAAAAAAIDBAABBf/EACERAAICAwEAAwEBAQAAAAAAAAABAhEDEiExBEFRInFC/9oADAMBAAIRAxEAPwAOgqwkgGHUtbxF067iKKlmFnGjXfeBZ0doVHaJjPCw1QsRsYaSE5g+sYxnlJjeUCLRoJTRtLSLDeMjHkhN4KWsBhvHGWzQLPXfMCC2vP8A8jpjecYAqJgj2orbX35QDMJNzYRjGniADvGKl67RnMqQAABpAFRV2beMYKmzt4VT50EVSmTChK7u9oxhoJlr3jhVjaOQu0du94xgHCpstAK5gSdPqOnbeKDD6/MkLlf8ZSQoEfuY/SRplPWPn+MzcwUU2CEh/UnWHWArSpNkhQypLFRuoFwW7RLK/SmEV4XNfUyJ4E6WMqt2Av8A6jjC54AiawzGPNOSGEslSh5dy1kn3MG0dbnctpDcbbXRORU+FSZoG4iP4h4j/TzzkWhTJS4d8v1ApbYuxfpBuLYwmXKKt2LN6axI8AUEqZmmTSFKJZL6PqSRuTBSlqrNCNujys40nqCQoAMSbfufZ/tD/CuJ5XgqV5islyLOpR0SA79LwZjeDyqgmSEELCcwUkWTaxKuvIR8z8FdPNKFJ86W/oG4PXlAQnsHOFH15Fahgon57f3lAqqjOXNhyiekVZypSqxdy2m1gOQgmpqCiWpQ15jZ7Q0Sd19chDusO+g1PSE9f4/hCchCyh1OoXDDcNdurRH101lMfMdX56x9iw/EP1FOkAZJZCAkpIJUwunLsNoXJtDoRR85osdWVMskpNs2oBOjw3lXJhPxJRinqpqZaVJlLALC7A7X9DBmA1RMsPdiz8wNDBxFzHYFtI0QqzQO5GkdGbcGCBJCelSipI3I7h3f3EUWDYZoUjlv9oWTwUTB1EPRMVnkqzMACpJ57KT+IRW09C3CuBs/Cky5bHOSnKUn9qhaxA+kiM8LUxIJHbeHtTWIWgKz+EUMXJdJ5uneJ3E1srMjQ7Db+OfeKHgcFbYvPD/pAvEyPKoMMpBdXIcgOZ5xK8NVctE4S5pUJUxgWUQyhoSRsdIpKvNOAR3vv09IDlYYlCgkoSSNyHcvANWnYhOj6FhdQpaFJByKQQEljcc9WZolsew1P6gTCBfzg6X0IfcWFusNqOkKQFZVAalnH2guupUzkAex3S8SRlrK/otnibjwmZF1BgHgurJY5hbfq8cppVS1MqxOnItGeI1JQAGcxWnZC4tOmRONSEJUMjsdtW6Q/wCAzOM0hKkiUfqzqFiB+197wDjlLmTmQLA3A1D/AA8VHA+DplyUzZgurzMdhtbsIVldRobjVsYcW4OtSkq3IblmGzEWOukTdDIKBlOxYBm/usfTeG6tM1apbBSLkoIcDrfTtAXHeES5YRMlgAk5SBuGO3MNE+P5NZFjkcyrpHAENHhVbkOsarDAGJuvrs5ZN/sIslKuIGEb9DKiVnSQdXcH/E/xHsqWqfTqQLTZRzI9QLo7j4g2johMdiX/AL7wQmUqknoMxIKJlnHMX7Kv9oXN/a9GYrQuwTDVrS06YSksSkb8nV8Q0qKfKQBomBaPFZcqZNlqUkZVHUgbv8wenEUTM2VQLAEsQWGkaOSbl0ZlpxFxG4OjwXhKyqYM40MCzJoGmh+0aYKlXidBB5H/AAyfH2Raza6XLQ8xQSl9T9oB8dKiVIPl58zvCviWvCDLlFvO99gzD5+0fqFylkxPhj9ntfFx+yYzqlAoPo46RPTkPdW8USaFWU5uRiXmzS7PFKknxEXz9d1qbYRLeYANP4hjXrUt0JLEDWMaGYmVJVOP1KskfPcxjTKUASC/Mncwprdkyekf9LnhWfL8HNZJNlOWLjYwBxXWoWlh5mL5uW1veI/Ba+VMmLyzE7WJbMbuQD+YY4sSWHOIcfxVDLs3bO6pxsS4rPeWQOY7P/uJKqRkCQNNj9ni5/RgghW4btEZj1OJZCTuHHb5j0n6Li+UVMmQBYKYjltCDijGlmolyyp0S27lW5+0MU1hIJTqYU1uBLn1Ccv0rS5VskDW+0cTizuslVAPFUr/AJwprTEJV7Bj+IK4PmhKpo/ySn2BP8wXxctExNOiSjMU5jnF3Tox7h4DwfDZiFhSwEgg2d3f09IKMv5Vgzi9mP5yg4a4h/wxIfMvZwB1ic8ZwQBeLakqUSacEjyoD/aF53/Ov6HhXbJ3iSnVNmFWU+GBlCtnf+YL4FqSQoHVJb/2JxHEzSp2cF1ElLDVz9J5HS+7Q04ErUHMQtJJOjsR2hc1JIfCf0n6XVQt3j5omZnmhCXBUrK+u7Re11WEgl9iYnJdVRyEFcoBc0jM7klOYeydY5hlVgTjdGWPElYlpBKJIu3t9vmFOMVZFNMCd2HYkA/aNqPE1y1lViXzAmzP+fSNJafHE5C2T4qfLycPcdXaGwaXAMkb6iAWBFPwPnVMWpSlFEtP0kkgqVpryAgObw2oC8xL8sph5wpSGUmYkkF1AhvRviG7RfBOsl0olzL20hBxFSlRlrABazdSQ1t4cPaO5Z6f3n0jPqMuMVTqEKzKScqw99j6j5gH9ZZUtYIzBlJBbMD6Q7mBjbTfrC2vogsBgQRof56QtxvwZGdASKDIykKzS1Fri6TyVz9YKlSilSR6/gwul1CkEpUGLXHzFLQ4fOV4a8oax8xAs3LaEvj6P9Qql0+aYhtSoPDHijEGCZXdXpDVOGpQQsMSCTYvte+mphFxFIQSSgFayxJOnoBBbKU02Bq4waRH4uwZtwfzAEsDv/d4a4lSKKbByDo179O0C0OFzpn0Slq9EmKrRNT+jY4nNyFJWspY2KoZ0lPYX+oe+8e0fB9Qq8xPhI3JIJ7JBhvNpUSl5EvlSAA5u0BtG6Qesqti9SFJynXnBecKAtb8RxNKitto0pJgBY76QGSNqwscq4zoIKr8o9wyY3idCPmNKiflUvkUg9wW+RAOHqso/wCR/EBj9GZfBx+pzRn4RKsyTps7feMER2iYQHYsd+ZGrRQ42TxbTN5c8AMdTBEkpdoVyVN5njYVTKfURw4GV9CmcLuG0UNfRtxAiJC0JYzFqFgAbAAaeWGeH1qSfMHTy3faNZ+LyElvAU3NWntC5SSfg2Kb8YgqKiYEOMwQbOLAmMJWLEFOYOBb07RVLnpqEFKiAFagftbRjC2fwi/0Th/2T8gwG8JcfA9Zx8MVJTNDp1Hv7xnw/PKFKSTvH4cPVUsunKr0Vr7x5LplBfmSUr3B36jnCpc5Y2Dv6KSqmeQ32iUxBbzj2/EP5yzkLxHT57zCoHU/iCwK5A5nUQ5SfMG5QNLkl7v0g+nUC3pG+UOkRWSCypQpR1a3t2gpEkJA6CCl07rBZxHs6S7ttHEkjrk2DEw+wWvlAeFUgFBYJtYP12PWE8ikUr6QS2rbQdSzFSz9CVjdC0vfm4uPxHJpNBQ4+iBMwENG1KnKXgKVDGRLIGjwQBvLUD0MHSFgHnAEqXBcpIAJ1eMY7qEJBfR+VoF/+qtAL+ZI52Ijuun2FmgCoBUjrAOCl6HHJKPg2p+IRsp+j6QTUYkialj9abpO78uoIiCnSzm0jIVKkmxhT+P+Dln/AEtMUrgJay+iS3tESgkAQROrVzEso25AQIEwzFj09F5cmzG+HTntB8qqJ20hNJVkYwbTLcnlvDBRRy1Bo0kygSS7QolTCFdo7mVB0F3jGHKZFlAW5EFo4wOsmU8xRU5SWuNvUQBRTlAPf3jqdWnRtIGUFIKMmj//2Q==","Moreno Valley",,,
"Janet Walsh",,,"8 Belle Isle Dr","Laguna Niguel",92677,"(949) 363-0404","Dancing instructions","CA",,,,,,,,,,,,,,,,,,,,,,"Laguna Heights",,,
"Lamb Co",,,,,,"(323) 731-1675","Dance Companies, Dancing Instruction",,,,,,,"Dance",,,,,,,,,,,,,,,,,,,
"Downtown Dance-Art Space","http://www.danceartspace.com/","danceart@sonic.net","172 N Main St","Sebastopol",95472,"(707) 824-8741","Dancing instructions","CA",,,"yes",,,"Dance",,,,,,,,,,"11$ -single class, 40$-4classes, 68$- 11 classes",,,,,"http://img.superpages.com/images-yp/bpThumbnails/244/648/2051648244/2051648244.jpg",,,,
"S Factor","http://www.sfactor.com/","sfinfo@sfactor.com","2159 Filbert St","San Fransisco",94123,"(415) 440-6420","Dancing instructions, health clubs , S Factor has fun and exhilarating fitness dance classes for every woman regardless of age or body type , pole dancing .","CA",,,"yes",,,"Dance",,,,,,,,,,,,,,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBwgHBgkIBwgKCgkLDRYPDQwMDRsUFRAWIB0iIiAdHx8kKDQsJCYxJx8fLT0tMTU3Ojo6Iys/RD84QzQ5OjcBCgoKDQwNGg8PGjclHyU3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3Nzc3N//AABEIAHYAdgMBIgACEQEDEQH/xAAcAAEAAQUBAQAAAAAAAAAAAAAABQEDBAYHAgj/xAA5EAABAwMCAwUFBQgDAAAAAAABAgMEAAURBhITITEHFEFRYSIycZGhFTNygbEjQlJ0ssHR4TQ1Nv/EABkBAAMBAQEAAAAAAAAAAAAAAAABAgMEBf/EACERAAICAQQDAQEAAAAAAAAAAAABAhEDBBIhMRNBUTIi/9oADAMBAAIRAxEAPwDuNeVKCQSogAeJNaTrPXrNkcVCt6UyJoHtEn2W/j5n0rmF01Pebqo98nvFJ/cSdqfkK6MemlNX0WoNnabrq6x2sESJ7ZWP3GzuV9KhLfrSZqGaqLp634Qj7yVJ91A+A8fSuNoQXXEoTzUsgAeZNdodaTojQji4qR3kIG5eOrijjP5ZrSeGGNJdtlOKRfv2r4WmmeBIfVNnYyW0YGD6+QrQLh2lX6Ss92UzFR4BtO4/M1qLzrr7y3n1qW6s5UpRySa8V0Y9PCPfLLUEjeLB2jXdic0i6OJlR1qCVEpCVJ9QRXYmnEODKFA/Dwr5qiLbaktuPJ3IQrJSPH0rf+zjU0mRqiQxMXlM/KgPBKwOWPy/SstRgVboroicPaOtUoKVwGQpSlAClKUAKUpQB8xOOLdWpbiipajkqJ5k1SqVWvcOouRHe7ymXwMltxK8eeDXepjMTV+llNsujhSW8oWOexQ/wa4BWw6T1XN05I/ZEuxFnLjBPL4jyNc+fE5pOPaJlGyOvNnm2WYqLPZU2oe6rHsqHmDWBXd4s/T+trdwlhDpx7TTnJxs+n+q0PVPZzMt2+TaCZUccy2ffQP70seoTe2fDEp/TQ6y7VMXAuUaW2cKZcSv5Hn9KxlJUlRSoEKBwQR0qldDVotn0zEfRJjNPtnKHEBQPoRV2tQ7MLl3/TDLS1ZciqLSvhnl9K2+vGnHbJo5mqYpSlSIUpSgBSlKAPmHGKVOa3tv2VqWYwkYQpXER+E86gq9uL3KzqTsrSrkeO5IUQ0nO0ZUfBI8yatrG1RAIOPEeNMC5HfejPJejurbcSchaFYIrpui+0MvuN2++kBasJRK8CfJX+a5dVKzyYozXInFM7B2g6MYuERy52xoImNjctKBydH+a4+a+g9HvOStK25ySSpa46dxPjyrhmoGExr5PZQPZQ+oD51hppvmD9EQfo27shuXd7y/BWrCJLeU/iH+q7AK+ddLPqj6jtzqCQUvp/PnX0UKw1canf0nIuStKUrlMxSlKAFKUoA5f2x2zlDuaE8/unD9RWlae08/eFOPLWI8Bjm9JWOSR6eZruWobMzfbW5AkEpSsghQ6gg1zftMlN2uNE05bUhmMhAcdCf3vLP6124MrcVjXZrB+jUbxcY7g7lamyzAR4k+28f4lH+1RNKV3JUalak9N2Z++3ZmGyDtUrLi/BKfE15sdjn3yUGLeyV8/acPuoHmTXbdJ6aiaagFto73183nj4/6rDPmUFS7InKiQfcj2WzqWcIYis8vgByr53myVTJj8lfvOuFZ/M1vnabq1M1w2i3rBYbV+3cB99XkPStOs9juN5fS1AirXk814wlPxNRp4bI7pexQVK2SPZ/bV3LVENITlthXGcOOgFd7Fa9o3TDOm4GwK4kp3m875+g9K2KuXUZfJPjozm7YpSlYEilKUAKUpQArnnaJoudepqLjbChbmwIcaUcE48RXQ6oSEgknA9auE3B2hp1ycNi9neon1YVGQyPNxfStrsnZbGZIXeJPeD4tNZSn59a6GiQ04kqQ4hQBwSDXpTqEZ3KSMDJyegrWWpyPgbyNlmDBi2+OliEwhlpPRKBioa92673tKoqJKbfCVyWUe064P0AqcRJZczsdQrBwcGrgUFcwQfhWNtOyUzVrToCw27C1RjJdHVb6t306Vs7LDTCAhltDaR4JGBVUrSoqCVA7Tg4PSqlaRkEgYGTz6USlKXbC7PVKsKlMJI3OoGRkZV1FXUrSrOCDjripFaPVK8cROzfuG3Gc5q2iUwv3HUK6dFUBaL9K8BaSraFAqAyRXugYpSlACsa4I4kR1GxSwRgpT1PwrJrFuM1m3wnpclW1ppJUo4prsGr4ItLbrjT6W0KOUow5w9qsg9MeOKuyY0gCVuUp3cwAk7B1yaw1X+6ojd9XYnBDxvOHgXAjz24+lTsGU1OiNSY6t7TqQpJ8xVttGfjowEJWtpIAWoh1B5tbOVXIz5ZDzZZdK961D2eR8udZNylCDb5MtSCsMNKcKR44GahY19u0mO2+zYHC26gLSTJSORGR4UK2ilBmZbGZUaTl9CcPp3LKT0X1yfn9KXGLIflqW0f2YbTlB6OYJ5Zq3eL99kWtiVJiLL7pAEZCsqz1PyFSbMxl6CmYlYDCm+JuJ5AYzQ2/0Lx/zRGubu9hzY62hTacJDIVjHh6VksucKXJSpp39opJSoJ5e6Kjmb9cJrZkWuzqeiZ9hxx4ILg80jFe2dQOzIvEt1udffbcLchhTgQplQ8DmnT+D8bMltajb3IvCdDm1Y5p5eNVhsh6Otl3ecoHvNbMGoyNqS5yn5LLNhWpyMsIdHeE8iRn9KzJd9dTLEG3wFypoQFvICwlLOf4lUNNcB42Z1qYW3H3vEqfWfbUepxyH0rPqBjX15E9qFd4SoTj33LgWFtrPlnwPpVtWoJrtwmRYFoXIERwNrXxkpySM+NTtk2Uo0jYqVAR9SJRKVFu0Vdve2b08RQUlac45EUpbGOmT9RuoGob9pfYuL3BjugIK84wSeX1qSrDutvYukF2HKBLTowcHBHkR60l2Igy1qW3MbULh3RhKcbXAW3Cn4jkTUtp6ZGn2ph+E1wmSCA1jGwg4I+dYAst4EXuw1AvZjG8xU78fiz19cVLWq3sWuC1DjA8NsdScknqSfzqpNNDZY1L/wCeuf8AKuf0momxIvv2PA4TtvDXd29oUhecbR61P3GKJ1vkxFLKA+0psqHUZGM1SDF7nb2IiVlXBaS2FkdcDGaSlUaD0anOubL2qlmRHkyGIDRaHd2SscVfv9PIYH51HNTVnRl7tqEPIXCVhtLiSlXBUoEcvhkVu1ktaLVEUyHC6txxTrjqhgrUo5q2/Zmnrv8AaBXjfHLDzW3IdTnln4c60U4rgdmbCDQhscDHC4admOmMVjw5EFy4TWYqU94bKeOQnGSRyyfGo2PYLhBaMe23pbMUfdtusBwtjyCsjlUhZrS1aY6221rdddWXHnnD7Tiz1JrN1zyIjtN/91qH+aR/QK86Rx3i8lz/AJHflcTPlgbfpUpbrYmDMnyUulZmOhwpIxtwMYrGnWNTlxNwt0xUKUpIS6QgLS6B03JPiPOqck7HZi66x9kslPJ/vbPB/FuFYFqXdU3y/fZzMVae8p3l5ZBzsHlUuxYXXLg1Nus9U1bPNhHCCENnzxk5PrWXbbWmDMuEkOlZmOhwpIxtwMU9yUaC+DVn23JuoltanQ22URsxksHKCncMkk885pU7fdPm6yWZCJao620FHJAVkEg/2pVxyRrsdk7SlK5yBSlKAFKUoAUpSgBSlKAFKUoAUpSgBSlKAP/Z","http://www.sfactor.com/Images/ffm3.jpg , http://www.sfactor.com/Images/ffm3.jpg","Northwest San Francisco, Union Street, Cow Hollow, North San Francisco",,,
"Antonio Madrigals","www.hotpep.com","info@hotpep.com","40170 Stowe Road","Temecula",92591,"(951) 491-0480","Full service entertainment company and dance studio. Our studio teaches ballroom and latin, specializing in Salsal and Special Occasion Choreography for Weddings and Quinceaneras.","CA",,,"yes",,,"Ballroom","Latin",,,,,,,,,,,,,,"http://www.hotpep.com/Hot%20Peppers/Assets/dancers/dancecouple2.jpg, http://www.hotpep.com/Hot%20Peppers/Assets/dancers/social%20dancers.jpg",,,,
"Dancing Academy",,,"15858 Main St","La Puente",91744,"(626) 336-8699","Dancing instructions, dancing companies","CA",,,"yes",,,"Dance",,,,,,,,,,,,,,,,"Hacienda La Puente",,,
