"provider_name","website","email","street_address","city","state","Zipcode","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead"
"AMP'D Youth Services","http://www.ampdyouthservices.com/","info@ampdyouthservices.com","4695 Chabot Drive, Suite 200","Pleasanton","CA",94588,"650-278-2687","AMP’D Youth Services went from an exciting idea to a dynamic reality in early 2012 supported by educators who believed in its mission—to foster relationships between youth and adults, through educational and exciting social activities in a safe, controlled, and enriching environment. They offer after school programs, year round camps, leadership developement, anti-bullying programs, and enrichment classes.",6,13,"Yes","Yes","No","Academics","Leadership","Drama/Theater","Language","Sports","Tutoring",,,,,"None listed","Online form","https://www.facebook.com/ampdyouthservices","No","http://www.ampdyouthservices.com/images/imgs/ampd-logo.png","http://www.ampdyouthservices.com/cache/widgetkit/gallery/2/ampd2-c818c60cc9.jpg",,,,"Yes"
"4074 Eggers Drive","http://www.msnucleus.org/","msn@msnucleus.org","4074 Eggers Drive","Fremont","CA",94536,"510-790-6284","Our classes are no more than 24 children. Instructors follow curriculum designed by over 300 scientists around the country. High school volunteers help to give your child an inquiry into science they will never forget. This is real science with real scientific equipment.",5,12,"No","Yes","No","Academics","Science","Chemistry","Biology","Geology",,,,,120,"Per_session","Unclear","https://www.facebook.com/pages/Math-Science-Nucleus-Childrens-Natural-History-Museum/155615984511955","No","http://www.msnucleus.org/images/MSNlogSmall.gif",,"Children's Natural History Museum; Tule Ponds at Tyson Lagoon",,,"Yes"
"San Jose Museum of Art","http://sjmusart.org/",,"110 South Market Street","San Jose","CA",95113,"408.271.6840","SJMA is the largest provider of arts education in Santa Clara County. Our education programs help school children, families, and adults investigate the art of our time and the creative process in both lively and contemplative ways. We have something for everyone, from in-gallery reading areas and art-making activities, to tours, talks, and outreach into the area's schools. Campers, ages 6–9, gain inspiration from the exhibition Around the Table: Food, Creativity, Community and participate in art projects that balance visual inquiry and technical instruction with self-expression. Students grow creatively and strengthen their artistic capabilities while developing team skills and perception. All materials are included.",6,9,"No","Yes","No","Creative Arts",,,,,,,,,275,"Per_session","Active","https://www.facebook.com/SanJoseMuseumofArt","Yes",,"http://sjmusart.org/sites/default/files/styles/landing_banner/public/banner/new-banner-education.jpg?itok=9yeuuC7E",,"K",12,
"Berkeley ATDP","https://atdp.berkeley.edu","atdpoffice@berkeley.edu","70 University Hall","Berkeley","CA",94720,"510-642-8308","At ATDP, we believe every child has a right to a gifted education. As part of the research done by UC Berkeley’s Graduate School of Education, our summer courses are rigorous and rewarding. For students finishing Kindergarten through Grade 6, three weeks of exciting activity at Washington School in Point Richmond. For students finishing Grades 7 through 11, six weeks of accelerated and enrichment courses at the UC Campus in Berkeley.",5,17,"Yes","Yes","No","Academics","Academic Writing","Language","Computers","Math","Science","Creative Arts","Chemistry",,650,"Per_session","on website","https://www.facebook.com/ucb.atdp","Yes","https://atdp.berkeley.edu/images/atdp-header-logo.png","http://atdp.berkeley.edu/wp-content/uploads/2011/11/chem_data_crew-300x258.jpg","UC Berkeley & Washington Elemetary","K",11,
"Thompkins Tennis International","http://www.tompkinstennis.com/","sandy@tompkinstennis.com","43801 Mission Boulevard #105","Fremont","CA",94539,"(510) 573-4025","Tompkins Tennis runs the #1 year-round Junior program in Northern California. Located at Ohlone College, ClubSport San Ramon, Livermore Valley Tennis Club, and now at the Hyatt Regency Hotel and Spa in Monterey, CA, we produce more nationally ranked juniors than any other program! Richard Tompkins and his highly trained staff of tennis professionals and former Division I college players specialize in juniors between the ages of 6-18. From learning the basics of the game to competing at a national level, Tompkins Tennis can meet the needs of every junior tennis player!",4,99,"Yes","Yes","No","Tennis",,,,,,,,,120,"Per_session","PDF","https://www.facebook.com/pages/Tompkins-Tennis/291209087559578","No","http://www.tompkinstennis.com/publishImages/index~~element92.png","http://www.tompkinstennis.com/publishImages/Program-Information~~element82.png","Fremont, Livermore, San Ramon, Monterey",,,"Yes"
"Children’s Musical Theatre of San Jose","http://cmtsj.org/","registration@cmtsj.org","1401 Parkmoor Avenue, Ste 100","San Jose","CA",95126,"(408) 288-5437","CMT is one of the nation’s largest and most recognized children’s musical theater programs. From summer camps to workshops to year-round training, CMT offers something for every performer.  CMT remains dedicated to providing the highest possible caliber of musical and theatrical training to children from ages 4 to 20, spanning all abilities.",4,20,"Yes","Yes","No","Performing Arts","Acting","Dance",,,,,,,160,"Per_session","vbotickets.com","https://www.facebook.com/ChildrensMusicalTheater","Yes","http://cmtsj.org/sites/default/files/childrens-theather.png",,,,,
"Children’s Creativity Museum","http://creativity.org/","info@creativity.org","221 Fourth Street","San Francisco","CA",94103,"415.820.3320","The Children’s Creativity Museum is an interactive art and technology museum for kids. Our mission is to nurture the 3C’s of 21st-century skills – Creativity, Collaboration and Communication – in all youth and families. We believe that the ability to think critically, collaborate broadly, communicate effectively and generate and prototype multiple solutions, is the core of a 21st-century education. We offer camps, workshops, early childhood development programs, and much more.",1,18,"Yes","Yes","Yes","Music","Creative Arts","Drama/Theater",,,,,,,72,"Per_session","Camparoo","https://www.facebook.com/creativitymuseum","Yes",,"http://creativity.wpengine.netdna-cdn.com/wp-content/uploads/2011/06/tri_photo1.png",,,,
"US Chess Mates","http://www.uschessmates.com/",,"37161 Niles Blvd, Suite A","Fremont","CA",94539,"510.648.2147","U.S. Chess Mates has been bringing professional chess instruction to students throughout Northern California for over 14 years. In our time we have helped 
aid in the creation of many local, state and national champions. Through our unique way of teaching chess we offer a new and fun approach that children, 
parents and educators approve of. In addition to chess classes we offer 1 on 1 private coaching, small group classes and monthly rated and non rated chess tournaments.",5,18,"Yes","Yes","No","Chess",,,,,,,,,,"None listed","Paypal, check, cash","https://www.facebook.com/uschessmates","No","http://www.uschessmates.com/sitebuilder/images/king-82x111.jpg","http://www.uschessmates.com/sitebuilder/images/IMG_1105-233x162.jpg","Sacremento, Bay area, Fremont",,,"Yes"
"Success Chess","http://www.successchess.com/","Info@SuccessChess.com","39039 Paseo Padre Parkway, Suite 201","Fremont","CA",94538,"(510) 657-1586","We know how much fun chess really is, and we excel at combining approaches that nurture a love for the game while creating young chess champions at the same time! Our team of teachers is a remarkable group of experienced instructors and strong chess players.",5,18,"Yes","No","No","Chess",,,,,,,,,155,"Per_session","Powweb","N/A","N/A","http://www.successchess.com/index_files/scs%20logo%201.jpg","http://www.calnorthyouthchess.org/MicTov.GIF","Multiple",,,
"SF Shakes","http://www.sfshakes.org/",,"PO Box 460937","San Francisco","CA",94146,"(415) 558-0888","The Shakespeare camps began with a single session of 30 campers in the summer of 1993 under the title of Midsummer Shakespeare Camp. At that time, the Shakespeare Festival saw a real need to offer young students the opportunity to study Shakespeare in a fun, supportive atmosphere and teach them the necessary skills to perform his work. The Bay Area Shakespeare Camps now serve over 700 young people, ages 4 to 18, throughout the Bay Area, with sessions in San Francisco, Berkeley, Piedmont, Pleasanton, Fremont, Pacifica, Burlingame, Palo Alto, Cupertino, Los Altos, San Jose, and other locations.",4,18,"Yes","Yes","No","Performing Arts","Acting","Drama/Theater",,,,,,,295,"Per_session","PDF, wufoo","https://www.facebook.com/pages/San-Francisco-Shakespeare-Festival/54633066385?ref=ts","Yes","http://www.sfshakes.org/images/gbl_img_logo_lg.gif","http://www.sfshakes.org/images/cmp_img_montage.jpg","Multiple",,,"Yes"
