"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url"
"Juarez's Martial Arts","http://montereykarate.com/",,"1780 Fremont Blvd","Seaside",93955,"(831) 383-1423","Juarez's Martial Arts  for Concentration is not just another after-school activity. Basketball, soccer, and baseball are all great activities for children, but Juarez's Martial Arts is personal development through a physical discipline. Our exciting, yet disciplined classes focus a child's attention, thus improving his or her ability to learn. Learning builds a sense of accomplishment. With each new accomplishment a student's self-confidence grows, and confidence is the first step in the empowerment of a young person's physical and mental abilities.

Once we begin to develop a student's self confidence, we are then able to install the values of respect, courtesy, honesty, perseverance, and integrity that are the foundation of martial arts, dating back thousands of years. Your child will develop perseverance, which is a non-quitting spirit to overcome life's obstacles. Instilling a non-quitting spirit helps a child overcome challenges, to succeed in the face of adversity, and to be a goal setter and a goal getter!","CA",4,99,"yes","no","no","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/pages/Juarezs-Martial-Arts/1416940195236485?sk=photos_stream","no","http://montereykarate.com/uploads/3/3/8/2/3382488/7466378_orig.jpg","https://scontent-a.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10007396_1416941825236322_4483914497990366866_n.jpg?oh=2ce036a6a6c8cb77fc0efdb022eda329&oe=54F13117"
"Z-Ultimate Self Defense Studios","http://zultimate.com/locations/moorpark","Moorpark@zultimate.com","557 E New Los Angeles Ave","Moorpark",93021,"(805) 437-4877","Z-Ultimate Self Defense Studios, LLC – ZUSDS – is a part of a family of martial arts companies formed with one goal in mind – to
 provide “Z-Ultimate” martial arts experience for students and their 
families by providing life changing and character building experiences 
through world-class personalized martial arts instruction. It is the largest martial arts company of its kind, with locations in the Midwest and on the West Coast.
What is unique about Z-USDS – besides it’s Dynamic Mastery Method™ of
 instruction – is that it is NOT just an association or license, where 
any martial artist can pay a small fee and use the rights to the logo 
and attain certification. There are many such organizations that boast 
hundreds, even thousands of members with this model.
With a philosophy of leadership that teaches, “Be a product of what 
you represent”, every single staff and support member of the Z-USDS 
family are martial artists and train actively. By doing so, we never are
 “out of touch” with what is happening in our locations because we are 
students, too.","CA",3,99,"yes","no","no","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/ZUSDS","yes","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-ash2/v/t1.0-9/536156_425974007415283_243292730_n.jpg?oh=aa6b95c6e3574b9afb424ebd22dd7311&oe=54EFE3A2&__gda__=1423532099_977146bac05635fd40ef295701c0d0ab","https://scontent-a-ord.xx.fbcdn.net/hphotos-frc3/v/l/t1.0-9/1010040_620002508012431_493720392_n.jpg?oh=725f16a7fcdd25c78b04212694ae8af2&oe=54F25D65"
"United Studios of Self Defense","http://www.ussdkenpopro.com/home.html",,"13331 Poway Road","Poway",92064,"(858) 848-9266","The USSD system of self-defense is uniquely organized and you will learn;More than 120 kicking techniquesOver 300 hand strikesMore than 100 pressure points30 different stances6 different blocking systems38 practice forms108 defenses against club attacks, knives, and gunsPractice drills to hone your defensive skillsUSSD
 instructors are expertly trained in our proprietary system of 
self-defense based on the practices of Shaolin’s warrior monks. Using 
well tested teaching methods ensures that you and your family will have a
 positive experience learning and practicing self-defense skills that 
will be effective if needed.","CA",4,99,"yes","no","no","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/pages/USSD-Poway/571290566310558","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10570377_571338802972401_568291895712979306_n.jpg?oh=6558bcc946fd00163474260e1dab9b54&oe=54ED77FB","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10593030_571613419611606_988111129379817952_n.jpg?oh=0743861e65c8956a626daaaa71f5b31a&oe=54F5F096"
"Modesto Boxing Gym","http://modestoboxinggym.com/","gene@modestoboxinggym.com","1027 N. Emerald Ave","Modesto",95351,"(209) 402-0475","The Modesto Boxing 
Gym is dedicated to providing youth of the community an organization 
which instills sportsmanship, fairplay, physical conditioning, and 
mental, spiritual and emotional health. Boxers develop self confidence 
and self esteem while learning Boxing skills and self defense. The 
importance of education is stressed. Many of our participants are 
considered at-risk youth.

These virtues are instilled by the 
coaches and board members in the training of the youth and in the boxing
 programs.  The objective is to promote and develop amateur boxing for 
the benefits of amateur boxers of all ages and abilities, in accordance 
with the standard under the rules prescribed by the United States of 
America Amateur Boxing Federation, Inc.  (U.S.A./A.B.F.) and the local 
Boxing Committee. Our efforts will be phenomenal, with our boxers 
qualifying and competing and winning at national levels.","CA",,,"yes","no","no","Martial Arts",,,"Boxing",,,"in person","https://www.facebook.com/pages/Modesto-Boxing-Gym/1486280531593248?sk=timeline","no","http://modestoboxinggym.com/10274292_250505241821434_5509539786151900280_n.jpg","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/10401950_1555127794708521_3821545880402634786_n.jpg?oh=123cfee51ee3876c87a1382ea047b0d3&oe=54E6ADC9&__gda__=1424816886_d8e309c33052cc95e8447870f30e80b6"
"Redlands Karate Fitness Club","http://www.redlandskarateclub.com/","longley.rkc@gmail.com","624 W. State St.","Redlands",92373,"(909) 496-0614","REDLANDS
 KARATE CLUB is dedicated to serving the youth in Redlands and the
surrounding communities. Our instructors have many years of training in 
the martial arts and are looking forward to passing that knowledge on to
 the youth of Redlands. ﻿
﻿
Don’t get hit—Don’t hit 

We devote ourselves to
spreading Karate-do with the world-wide
view, we cultivate and
develop our physical strength and
spiritual health
by studying and training for that purpose. 
 
We will always devote ourselves to training based on these five precepts:
Teachers and students relate to each other on the
basis of loyalty and honor
Love and respect your mother and father
Respect seniors
Sincerity to friends
Affection for juniors","CA",6,99,"yes","no","no","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/RedlandsKarate?fref=ts","no","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-ash2/v/t1.0-9/1011162_615422175155861_104053474_n.jpg?oh=4ae5015d2d3100994103c029891fb43e&oe=54EA7CB3&__gda__=1423455508_0fd6a04bf95448821a713bfe301c3a8f","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10291060_871206546244088_7681418438545208968_n.jpg?oh=ae3be5154ef1e4605a1e9bb449f04472&oe=54EC23EA"
"The Little Gym of San Jose (South)","http://www.thelittlegym.com/sanjosesouthca/pages/default.aspx","tlgssanjoseca@thelittlegym.com","1375 Blossom Hill Rd Suite 45","San Jose",95118,"(408) 723-7222","With more than 300 locations across the globe, The Little Gym is the 
worldʼs premier experiential learning and physical development center 
for kids ages four months through 12 years. Each week, progressively 
structured classes and a positive learning environment create 
opportunities for your child to try new things and build 
self-confidence, all with a grin that stretches from ear to ear.
At The Little Gym of San Jose (South), our environment is fun, but 
our purpose is serious. For more than 35 years, our trained instructors 
have nurtured happy, confident kids through a range of programs 
including parent/child classes, gymnastics, karate, dance and sports 
skills development, plus enjoyable extras like camps, Parentsʼ Survival 
Nights and Awesome Birthday Bashes. In all of our programs, physical 
activity is a conduit for Three-Dimensional Learning. In every 
dimension, self-confidence and a proud smile are evident outcomes.","CA","4 mos",12,"yes","yes","yes","Martial Arts","Gymnastics",,"Dance",50,"per_month","online","https://www.facebook.com/tlgsanjose","yes","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1456695_10152048775125929_75622521_n.jpg?oh=a13144c53ddf72f293c77b8b1beda9e6&oe=54E71D7D&__gda__=1423220690_964187b32bcda00309e21af46ac113d3","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10423830_10152650177760929_6977863607045059827_n.jpg?oh=2fb8f2cb890ad6a4b12de418b8d8e406&oe=54E0E7B4"
"Happy Ocean Tai Chi Kung Fu Academy","http://www.happyoceantaichi.com/","happyoceantaichi@gmail.com","1110 Marshall Rd. Ste. H","Vacaville",95687,"(707) 688-6329","Applying his 
more than 40 years of study in the martial arts, Master Yeung has 
combined his extensive knowledge into a comprehensive, easy to 
understand exercise system. His system of teaching is unique because he 
shows his students how Tai Chi builds on 12 circular movements and 13 
components. It is based on what he has found to be most effective over 
the years that he has been studying, practicing and teaching Tai Chi. 
Chi Kung exercises round out the system for maximum health benefits. The
 Happy Ocean Tai Chi program encompasses breathing techniques, balance, 
understanding Yin Yan, forms for practice, equipment for strengthening 
and improving skills, and using everyday, common objects as weapons for 
self defense. Learning this Tai Chi and Chi Kung program will harmonize 
your Mind, Body, and Spirit.","CA",3,99,"yes","no","no","Martial Arts",,,,15,"per_hour","phone","https://www.facebook.com/pages/Happy-Ocean-Tai-Chi-Academy/130866160288112?fref=ts","no","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/38220_130866536954741_4561946_n.jpg?oh=efcb021249d6d63521dc8317f135d15d&oe=54E037D0","http://www.happyoceantaichi.com/my_files/images/KungFuKids_med_copy.jpg"
"Robinson's Taekwondo","http://www.robinsonstkd.com/",,"2699 Florin Rd.","Sacramento",95821,"(916) 424-5425","Founder Clint Robinson left the U.S. Air Force after serving his 
country including duty in South Korea, where he discovered the positive 
values and healthy fitness derived from training in Taekwondo martial 
arts. Returning to the United States, Mr. Robinson came west to settle 
in Sacramento, CA, where he opened his first Taekwondo training school 
on Broadway.
Founded in 1975 on the principles of teaching excellence, personal 
attention and tradition, for more than 40 years, Robinson’s Taekwondo 
provides you with the most complete and effective methods to reach your 
full potential.
While self-defense techniques are often the first thought in choosing
 Taekwondo as a martial art, most students quickly discover the healthy 
fitness, positive attitudes and mental sharpness that come from physical
 training. Both adults and children benefit by controlling weight, 
increasing strength, endurance and flexibility while gaining confidence 
from achieving greater respect for themselves and others.","CA",3,99,"yes","no","no","Martial Arts",,,,,,"web form, phone","https://www.facebook.com/RobinsonsTKDFlorinRd/info","no","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/10359493_901764193186648_6740117152716020957_n.jpg?oh=6c8d633c080892d7e11eb5f6ae7bf57d&oe=54E42124","https://scontent-a-ord.xx.fbcdn.net/hphotos-xfp1/v/t1.0-9/1233423_682275678468835_308272886_n.jpg?oh=bb1b48bb3a0dcb762a11c32a9e44fc06&oe=54F2B94F"
"Kovar's Satori Academy of Martial Arts","http://www.kovars.com/","ilya@kovars.com","2063 Arena Blvd. Ste. 100","Sacramento",95835,"(916) 419-9878","In 1978, Kyoshi or “Master Teacher” Dave Kovar opened his first 
school with a vision to empower people by teaching martial arts on a 
completely different level than could be found anywhere else.  His 
brother Tim, who brought innovative business practice to the operation, 
soon joined him.
The brothers’ reputation for combining self-defense and life skills 
grew.  As the word spread, the Kovar’s opened new locations, garnered 
awards, earned prestigious industry accolades, and gained national 
recognition.","CA",4,99,"yes","yes","yes","Martial Arts",,,,39.95,"per_month","web form, phone","https://www.facebook.com/kovars.natomas/info","yes","https://scontent-a-ord.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1497691_581267245276956_247367739_n.png?oh=aeb53fb85bb01d45d43c360a9b8b4b3e&oe=54EC4312","https://scontent-a-ord.xx.fbcdn.net/hphotos-xpa1/t31.0-8/10272713_718350061568673_3493292483103595557_o.jpg"
"Pecoraro's Fitness and Kickboxing","http://rpdojo.com/","RpDojoFit@gmail.com","1300 Valley House Dr. #110","Rohnert Park",94928,"(707) 795-3135","We are an independent family owned full-time Fitness & Kickboxing center focusing on fitness, personal protection skills, true self-esteem and sincere character development for children, teens and adults.
Serving Sonoma County since 1992, we offer a variety of fitness 
options at reasonable rates. Our Kickboxing curriculum is age specific 
and functionally relevant for every age group. We place a high emphasis 
on providing our members with physical benefits that are matched by equally important mental skills.","CA",3,99,"yes","yes","no","Martial Arts",,,"kickboxing",59.95,"per_2 weeks","phone, email","https://www.facebook.com/pages/Pecoraros-Fitness-Kickboxing/129543739780","yes","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/574939_10150814375054781_1211509002_n.jpg?oh=d9bd3bea6152194f4768ec4760f3bb95&oe=54D24DB9&__gda__=1424018870_e6b7b9e59ace3ac813f1e771208e442b","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/10383758_10152496076909781_9125701278357263281_o.jpg"
