"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting Price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url"
"Main Street Martial Arts","http://www.mainstreetmartialarts.com","info@mainstreetmartialarts.com","144 S. Coombs St, Suite Q","Napa",94559,"707-224-6431","Our kids program is designed to teach each level independently and also to bring all the kids together to know one another so that when they see each other in middle & high school levels, they have friends and a strong, respectful circle of their own. We do believe in “strength in numbers”.","CA",4,16,"YES","YES","YES","Martial Arts",,,,,,"Phone","https://www.facebook.com/groups/170215012054/photos/","N","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/t5.0-1/50511_170215012054_1311626_n.jpg","https://scontent-b-ord.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10690264_10203580040193886_9201369423379017028_n.jpg?oh=60fd5851db74ae95f3c7979be7166ba6&oe=54EF670B"
"Morning Sun Martial Arts & Education Center","http://www.mainstreetmartialarts.com/about-us","morningsunma@att.net","135 W. 8th Ave","Chico",95926,"530-342-5833","Tae Kwon Do and Hapkido are both taught at Morning Sun, along with various weapons. All are taught in a safe, non violent, respectful manner.At Morning sun we strive to develop the whole individual, not just the martial artist. That is why we teach strong charitor building in all of our classes.","CA",4,12,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/morningsunma","N","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-prn2/v/t1.0-1/c18.0.160.160/p160x160/1474593_1417047781860830_1901442794_n.jpg?oh=988fc54b88fa09f934e5b2c6ab85f45b&oe=54E0F948&__gda__=1424272723_66044d8df352bb66f83b4d30d344b7aa","https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10389338_1569934986572108_6228284567836931871_n.jpg?oh=b597af820ba8d4974ad697f779303c98&oe=54DD0152&__gda__=1424963179_3e040b52c4e4732ed3b44d02fa453b0f"
"Mixed Martial Arts Academy","http://oakdalemma.com",,"745 W. Main St","Merced",95340,"209-384-0117","Merced Mixed Martial Arts Academy in Merced, California, is owned by Tom Theofanopoulos, who also owns and operates Oakdale Mixed Martial Arts Academy since 1988. Tom has over 30 years experience in the Martial Arts, including titles in Wrestling (Junior Olympic Competitor), Traditional Karate (8th Degree Black belt), Kajukenbo (Professor title), Jiu Jitsu (Black Belt) under the Behring Family System and four-time US Open Champion.","CA",4,12,"YES",,,"Martial Arts",,,,,,,,,"http://oakdalemma.com/templates/rt_hyperion_j15/images/blank.gif","http://oakdalemma.com/images/phocagallery/FlavioBehring-2011/thumbs/phoca_thumb_l_img_06481.jpg"
"Downham's Universal Karate Academy","http://www.downhamskenpo.com","info@downhamskenpo.com","6149 Skyway","Paradise",95969,"530-872-4291","Downham’s Kenpo Karate is dedicated to the ideal that there should be no bullies.  We teach our students to be discerning about when to and when not to use their physical skills.  Part of what they learn is how to be confident in the face of bullying.","CA",,,,,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/pages/Downhams-Kenpo-Karate/207311204278","N","http://www.downhamskenpo.com/wp-content/uploads/2012/12/Header.jpg","https://fbcdn-sphotos-g-a.akamaihd.net/hphotos-ak-xaf1/t31.0-8/1655715_10152138901434279_232307975_o.jpg"
"International Self Defense Institute","http://www.isdikempo.com",,"98 42nd Ave","San Mateo",94403,"888-976-9692","International Self Defense Institute is a martial arts studio with years of experience in Shaolin Kempo combined with Shotokan karate. Very knowledgeable and experienced instructors teach all of our classes and place a strong emphasis on teaching discipline, building energy, increasing self-confidence and improving concentration. Our courses are perfect for children, teenagers and adults. They will also help you develop self-defense skills, physical conditioning, and self-discipline.","CA",3,18,"YES",,,"Martial Arts",,,,,,"Phone",,,"http://www.isdikempo.com/Kickin_Wing/banner1b.jpg?nxg_versionuid=published","http://www.isdikempo.com/*site/scaled-images/web/ZacharyLee2a-jpg-125x270.jpg?nxg_versionuid=published"
"Academy Of Tae Kwon Do","http://www.academyoftkd.com/Welcome.html","idokwantkd@sbcglobal.net","988 Oak Street","San Francisco",94117,"415-864-4827","The Academy of Tae Kwon Do, located at 988 Oak Street in San Francisco, was established in 1979 by Professor Bill Dewart. It is associated with S. Henry Cho's Karate Institute in New York City, one of the oldest Martial Arts schools in the United States. The classes at the academy are open to everyone. Please call or stop by for more information about classes offered or special arrangements.  Tae Kwon Do is a philosophy. It utilizes the practice of a martial art as a mean of achieving both mental and physical harmony. The Academy seeks to develop the ""whole"" the student, both the mind and the body.","CA",10,18,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/AcademyofTKD/info?ref=page_internal","Y","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-ash2/v/t1.0-1/c108.60.745.745/s160x160/1098095_561381917233123_1912271680_n.jpg?oh=c23e94189c8691d7f441424d90336418&oe=54D8AE3E&__gda__=1424944984_0be367f6771d4eabf8bae4e71daee49b","http://www.academyoftkd.com/Photos.html#7"
"Imperial International Martial Arts Federation","http://www.worldwidemartialarts.com","KUKSOOLMASTER@YAHOO.COM",,"Beverly Hills",90209,"323-545-6108",,"CA",,,,,,"Martial Arts",,,,,,,,,,
"James Reed's Tae Kwon Do","http://www.jamesreedstaekwondo.com/Pages/default.aspx","Guille.aranda@att.net","2243 N. Macarthur Dr","Tracy",95376,"209-835-1600","James Reed's Tae Kwon Do is in the business of providing the best martial arts training at the most affordable rate for all students and families.  We emphasize discipline, self respect and honor.  We have been in business for nine years in Tracy and plan to be here for many years to come","CA",4,18,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/pages/James-Reeds-Tae-Kwon-Do/225922990787572","N","https://scontent-b-atl.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/291892_225927290787142_2226895_n.jpg?oh=5e03ec66f4ed1d379376c85def6b245d&oe=54E68116","https://scontent-a-atl.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/1609605_784181964961669_971624479942759957_n.jpg?oh=18465cc9f9c515b01c6e1c0975b1fc4b&oe=54DA8A63"
"Five Claw Martial Arts","http://www.fiveclaw-mma.com","info@fiveclaw-mma.com","14317 Mono Way","Sonora",95370,"209-694-4749","At Five Claw Martial Arts, we teach a wide range of students of all ages and abilities. We individualize the instruction for each student to meet his or her unique goal—whether it be to learn a self-defense art, increase physical fitness, or train as an MMA fighter.","CA",3,18,"YES","YES","YES","Martial Arts",,,,,,"Phone",,,"http://www.fiveclaw-mma.com/sites/default/files/simply_modern_logo.png","http://fiveclaw.org/sites/default/files/photos/image_1/kidsbelt_web.jpg"
"International Budo Academy of The Martial Arts","http://www.internationalbudoacademy.com",,"3210 Coffey Lane","Santa Rosa",95403,"707-546-2836","The International Budo Academy of the Martial Arts is a family dojo specializing in the arts of traditional Okinawan Karate and Kobudo.","CA",6,12,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/Budoacademy707","N","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1656274_311554805636361_458553213_n.png?oh=5e451c341d489f66f1189a88dcbb86f7&oe=54E41199&__gda__=1427701200_5d6aeb27404c25e8146dc6224f562152","https://scontent-b-atl.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/542569_228220423969800_1829067315_n.jpg?oh=9cf8bfb8edcdfae0fd1fd834a96c0614&oe=54E00994"
"Ronin Jiu-Jitsu","http://trainronin.com","RoninJiuJitsu@gmail.com","1145 Freemont St","Stockton",95203,"209-612-8965","Welcome to Ronin Jiu-Jitsu! We are the premier Brazilian Jiu-Jitsu school in Stockton, CA. We are an official Crosley Gracie affiliate offering world class instruction for all ages and everyone in the family. Open 6 days a week for Group and Individual Lessons – Brazilian Jiu-Jitsu, Judo and Submission Grappling.","CA",5,15,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/trainronin?ref=search","N","http://trainronin.files.wordpress.com/2013/08/womenclass-page-001.jpg?w=401","http://trainronin.files.wordpress.com/2011/11/20111113-153804.jpg"
"Sun Yi's Academy of Tae Kwon Do","http://sunyisarcata.com","Corey.Lewis@humboldt.edu","1215 Giuntoli","Arcata",95521,"707-825-0182","Here at Sun Yi’s Academy in Arcata we believe in a holistic and balanced approach to training, as well as life. We strive to offer our members opportunities to foster a Sound Mind, and Sound Body by providing a diverse array of classes and services, and a high quality of instruction and facilities.","CA",4,18,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/SunYisAcademyofTaeKwonDoArcata?ref=stream","N","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-frc3/v/t1.0-9/942174_573614202686625_75869068_n.jpg?oh=411d4bdd32beeaaf8fbd079bb042e038&oe=54DF6CD1&__gda__=1423999506_2db8ef1c660923081c18ed4cc706fbf2","http://sunyisarcata.com/wp-content/uploads/2013/03/MuralShootFeb2013.jpg"
"Shan Tung Kung Fu Association","http://www.kungfuusa.com","eagleclaw@kungfuusa.com","1192 E. COlorado Blvd","Pasadena",91106,"626-577-0525","Our philosophy promotes respect and discipline while learning a traditional art form with self-defense skills in a safe and fun environment. Your child will learn the following skills in our classroom such as respect, focus, coordination, discipline, concentration, and confidence, while learning self-defense skills in our safe, fun and positive environment. Many of our young students have achieved awards in competitions locally, nationally, and internationally. Many students have also been able to have the experience of performing for local events and televised productions.","CA",4,18,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/pages/Shan-Tung-Kung-Fu/324459914869?ref=br_tf","Y","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/26043_324521419869_66703_n.jpg?oh=06e31ca5522741169b96febba2bc3bfa&oe=551FB36D&__gda__=1424934469_d59d9508243f91fb9f5b920b736575e8","https://scontent-a-atl.xx.fbcdn.net/hphotos-ash2/t31.0-8/1269591_10151844832624870_120051578_o.jpg"
"Full Circle Aikido","http://fullcircleaikido.org",,"191 S. Oak Park Blvd #8","Grover Beach",93433,"805-929-5416","Aikido (eye-key-dough) is a unique Japanese martial art renown for its graceful power, ethical ideals, and brilliant conflict resolution strategies. Aikido blends the best aspects of ancient martial arts with a modern teaching style and social structure. Full Circle Aikido is non-competitive, challenging, and fun.","CA",4,18,"YES",,,"Martial Arts",,,,60,"per_month","Phone",,,"http://fullcircleaikido.yolasite.com/resources/techniques.jpg?timestamp=1384010762480","http://fullcircleaikido.yolasite.com/resources/girlsclass.jpg?timestamp=1359480918518"
"All American Black Belt Academy","http://www.hayashi-ha-shitoryu.com","aabba@me.com","6866 Village Parkway","Dublin",94568,"925-575-9469","Karate is an outstanding way for kids and adults to improve physically and mentally. As students advance from white through black belt, they gain advantages of strength, flexibility and endurance, as well as improved concentration, discipline and character. The All American Black Belt Academy, located in Dublin, California, is family oriented and offers instruction in the Shito Ryu style of Japanese karate. The All American Black Belt Academy has several locations in Northern California.","CA",4,18,"YES",,,"Martial Arts",,,,,,,,,"http://www.hayashi-ha-shitoryu.com/img/dojologo1.jpg","http://www.hayashi-ha-shitoryu.com/img/knifehandblock1.jpg"
"Trad Am Karate","http://www.tradamkarate.com",,"8955 Carlton HIlls Blvd","Santee",92071,"619-596-7838","The name ""Trad Am Karate"" or the initials ""TAK"" are used as abbreviations for our system and style, Traditional American Karate. The school names TRAD AM KARATE (Santee) and ALPINE KARATE ACADEMY (Alpine) personalize these schools as there are other TAK schools owned and operated by officially authorized TAK instructors. Traditional American Karate provides a good system of martial arts suitable for the American way of life and philosophy. TAK emphasizes the development of attitude as well as knowledge and skill. In TAK, the objective is not to teach a certain defense for a certain attack, but rather to help students develop 'intuition' in which they are free from preconceived actions. To achieve this, Traditional American Karate is organized into formal kata, situational self-defense techniques, sparring techniques, and many hand, foot and body change techniques. We also include Oriental weaponry.","CA",5,18,"YES",,,"Martial Arts",,,,85,"per_month","online","https://www.facebook.com/TradAmKarate","N","https://scontent-b-atl.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/23888_392164034194506_1209729565_n.jpg?oh=8b0a1fd349150aebe1807c024a0d1406&oe=54D5A4EA","https://scontent-a-atl.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/10277556_650682368342670_913283610865366271_n.jpg?oh=853a01975b25c41371c65382de131604&oe=54D242B2"
"Kicks Tae Kwon Do, Kick Boxing & MMA","http://www.kickstaekwondo.net","kickstaekwondo01@yahoo.com","2097 E. Washington St","Colton",92324,"909-825-8502","Provide the finest positive instruction in the mental, physical and character building aspects in the martial arts.",,,,,,,"Martial Arts",,,,,,"Phone","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/t31.0-8/s960x960/53147_100273310137245_455902530_o.jpg","N","http://www.kickstaekwondo.net/flag%20image%20of%20grand%20master%20kit.jpg","http://www.kickstaekwondo.net/flag%20image%20of%20grand%20master%20kit.jpg"
"Tapout-LA","http://www.tapoutla.com","tapoutlateam@gmail.com","400 W. Pico Blvd.","Los Angeles",90015,"213-814-3646","HARDQORE BRAND LA's is known for its exceptional Kids Program, which offers 10th Planet Jiu Jitsu, Boxing and Muay Thai classes to children 5 – 12 years old. Our classes are both challenging and fun, and follow a progressive learning curriculum.",,5,12,"YES",,,"Martial Arts",,,,,,"Phone","https://www.facebook.com/tapout.la.1?fref=ts","N","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/t31.0-8/s960x960/53147_100273310137245_455902530_o.jpg",
"Aikido of Mountain View","http://aikidomv.com","aikidomvkids@gmail.com","1924 Plymouth","Mountain View",94043,"650-634-9465","Children’s aikido classes expose kids to a mixture of formal techniques, movement skills and games designed to foster an understanding of aikido’s basic principles. Colored belts are awarded at the discretion of the instructor for progress made while training. The testing process is designed to enhance confidence and self-esteem.","CA",8,17,"YES",,,"Martial Arts",,,,55,"per_month","Phone",,,"http://aikidomv.com/new/wp-content/uploads/2014/07/cropped-Header960x170-sat.jpg","http://aikidomv.com/new/wp-content/uploads/2014/03/ch-ing1-txt-300x223.jpg"
"Jobu Shin Kan","http://jobushinkan.weebly.com",,"521 4th Street","Eureka",95501,"707-443-3735","Jobu Shin Kan is a traditional martial arts school dedicated to development of character through the study of Danzan Ryu Jujitsu. Our purpose is to provide a healthy and safe atmosphere to support the physical and mental growth of our students in their all-around pursuit of excellence. We welcome students of all ages, sizes, and body types.","CA",,,"YES",,,"Martial Arts",,,,55,"per_month","Phone","https://www.facebook.com/jobushinkan","N","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/v/t1.0-1/c7.0.160.160/p160x160/10402462_1452923691660804_3559659115372693960_n.png?oh=23cd76fae3fe9c651e401861fa626f97&oe=54D35368&__gda__=1423149949_34b5f5d5ee358545f1b10565c6ec2539","https://scontent-b-atl.xx.fbcdn.net/hphotos-xpf1/t31.0-8/10580882_1465799133706593_2171742659176648050_o.jpg"
"Concord Locksmith",,,"1804  Colfax Street","Concord",94520,"925-689-1534",,"CA",,,,,,"Martial Arts",,,,,,,,,,
"Manna's Martial Arts","http://www.manna.us","office@manna.us","12285 World Trade Dr","San Diego",92128,"760-479-6413","27 Years serving families in Martial Arts Instruction and Leadership Development. Our instruction is acclaimed “One of the finest in the world.”Tiny Tigers beginning at age 3 and 4, Little Dragons ages 5 & 6, Dragons ages 7 to 11, Traditional ages 12 to 29 and Songin minimum age 30.","CA",3,18,"YES","YES",,"Martial Arts",,,,,,"online","https://www.facebook.com/pages/Mannas-Martial-Arts-Inc/179973742038204","N","https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xpa1/v/t1.0-1/c0.2.147.147/167813_179973952038183_654676_n.jpg?oh=ad4ced7a15bcef78f3c5020f3e494a88&oe=54DA05F8&__gda__=1424029008_83a6fd52869dcc65ed8b322124fd54a3","https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xpf1/t31.0-8/10658646_745825402119699_605988628131363868_o.jpg"
"Taekwondo Plus","http://www.tkd-plus.com",,"5912 Telegraph Road","Ventura",93003,"805-639-8119","If fitness, health and self-defense are your goals, you'll quickly realize the tangible results of the excellent training and individual attention you'll receive in our lessons.If increasing academic performance and discipline is a goal, our Partners in Learning Program and unique environment of individual encouragement combined with rigid lesson structure will get you on the right path and ensure future success.","CA",4,18,"YES",,,"Martial Arts",,,,44,"per_month",,,,"http://www.tkd-plus.com/image/tkdphdr.gif","http://www.tkd-plus.com/image/class.jpg"
"Moore's Chinese Martial Arts","http://mooresofstockton.com","shoushu@mooresmartialarts.com","2024 Pacific Ave","Stockton",95204,"209-948-2675","Shou Shu is the ultimate art of unarmed combat as well as being a superb system in achieving physical fitness and confidence in oneself. This is an unsurpassed system of self-defense which combines a vast array of pressure points and joint locking techniques (Chin Na) with kicking, punching, throwing, falling, (Shuai-Chiao) and a myriad of fighting techniques (San Sao’s) into beautiful and dynamic ‘soft-style’ emphasizing speed, fluidity and power.","CA",,,"YES","YES",,"Martial Arts",,,,,,,"https://www.facebook.com/RealShouShu","Y","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xpf1/v/t1.0-9/1910208_186581219605_6138434_n.jpg?oh=9e2d88aca4cedff3ade00c23c8679693&oe=551DC1DF&__gda__=1423924358_52b9409bcf442965c8a7d8226de79cdc","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/t31.0-8/10582798_10153055744569606_6326359566729886712_o.jpg"
"Flaherty's Kenpo Karate","http://www.karatetoday.com/FKKA_-_Site/Welcome.html","admin@KarateToday.com","4343 Pacific Ave","Stockton",95207,"209-941-3509","To touch many peoples lives with self-defense training while promoting safety, health, confidence, discicpline and respect","CA",4,18,"YES","YES","YES","Martial Arts",,,,19.95,"per_month",,,,"https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRpyk3mbNylk4USZ4KMYEeyy0JNWXmKl9g9uMolqlsFgJK1s4Miww","http://www.karatetoday.com/FKKA_-_Site/Birthday_Party_info._files/shapeimage_9.png"
"All Star Karate Center","http://www.askarate.com",,"2636 Broadway St.","Redwood City",94063,"650-368-5777","While the physical movements of martial arts will teach your children self defense and enhance their coordination, you will also see growth in their focus, concentration and respect for others. Martial arts will give your child a strong sense of confidence and develop the discipline to never misuse their skills. While learning and developing in each of these important areas, your child will be in a positive environment, setting and meeting goals, and having lots of fun achieving them!","CA",5,18,"YES",,,"Martial Arts",,,,,,,"https://www.facebook.com/AllStarKarateCenter","N","https://scontent-b-atl.xx.fbcdn.net/hphotos-xfa1/v/t1.0-9/254632_242858699070395_6476158_n.jpg?oh=7f56140d70b59a1bce2106d658840b2c&oe=54DA8EF5","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/t31.0-8/10481517_830991713590421_4946623898667876886_o.jpg"
"Tiger Eye Family Martial Arts",,,"5949 Lindhurst","Marysville",95901,"530-763-6890","mixed martial arts, self defense karate, children and adult classes, private lessons, birthday parties, martial art weapon training","CA",,,,,,"Martial Arts",,,,,,,"https://www.facebook.com/pages/Tiger-Eye-Family-Martial-Arts/221930844647029?rf=483202765053884","N","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/1415194_223470421159738_1348504594_o.jpg","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/1415194_223470421159738_1348504594_o.jpg"
"Gracie Humalta Temecula Brazilian Jiu Jitsu","http://gracietemecula.com","gracietemecula@gmail.com","26855 Jefferson Ave","Murrieta",92562,"951-249-7599","Experience it, Live it, Change your life with Gracie Jiu-Jitsu.The Gracie Temecula Academy was formed in early 2003 to provide quality Brazilian Jiu-Jitsu Martial Arts instruction in the Temecula valley area.","CA",4,18,"YES",,,"Martial Arts",,,,,,,"https://www.facebook.com/temeculajiujitsu/info?tab=overview","Y","https://scontent-a-atl.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/p417x417/1475988_329655667174536_1249227333_n.jpg?oh=001d4600c17260e6e28381bab06bed32&oe=54DFEA40","https://scontent-b-atl.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10406398_477905169016251_4654689943629308937_n.jpg?oh=067616f3c18a5238e6e8534fa591ddad&oe=54DA88A2"
"American Kenpo Karate","http://www.americankenpokarate.net","americankenpoist@gmail.com","36 S. Robles Ave","Pasadena",911101,"626-793-8575","Our goal is to provide fun, safe and positive martial arts training for students from 4 years to adult. We offer a family-oriented, friendly environment, dedicated to the ageless martial arts disciplines of self control, physical fitness, and self-defense. Our karate classes will condition your body and give you new skills, plus teach you how defend yourself and your family from a real-life violent assault. And that knowledge will be yours for life!","CA",4,18,"YES","YES","YES","Martial Arts",,,,,,,"https://www.facebook.com/pages/American-Kenpo-Karate/151659901625285?rf=116004495094199","N","https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/c0.0.851.315/p851x315/10448684_329789210479019_3436000782989420211_o.jpg","https://scontent-a-atl.xx.fbcdn.net/hphotos-xpa1/t31.0-8/s960x960/10505013_329791607145446_7791948200070299444_o.jpg"
"American Kids Sports Center","http://www.aksc.com","mike@americankidssports.com","3622 Allen Road","Bakersfield",93314,"661-589-2100","American Kicks is our Martial Arts program in which we currently offer Taekwondo and Self Defense!  This sports offers tremendous personal & physical training. Taekwondo involves the use of kicks and punches.  Taught within the American Kids mission statement of teaching VALUES, setting GOALS, and learning SKILLS for a healthy life!   - See more at: http://www.aksc.com/index.cfm?fuseaction=page&page_id=5009#sthash.wLUa88Rm.dpuf","CA",4,18,"YES","YES","YES","Martial Arts",,,,,,,"https://www.facebook.com/AmericanKidsSportsCenter","Y","https://scontent-a-atl.xx.fbcdn.net/hphotos-prn2/t31.0-8/1085039_10151581777238575_1816603827_o.jpg","https://scontent-a-atl.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/p417x417/421405_10150544062823575_1235501941_n.jpg?oh=1951d6e01d2d070237c530def824299a&oe=54D507FA"
"Golden Drago Jeet Kune Do Academy","http://goldendragon-jkd.com","golden.dragon.jkd@gmail.com","539 W. Dakota Ave","Fresno",93705,"559-250-2643","GDJKD is based on Science and Psychology. With over 40 years of research and development. At the Golden Dragon Jeet Kune Do Academy, you will find no gimmicks or useless fancy moves. Our philosophy is simple: keeping it as real as possible and providing mental and physical strategies on how to survive any attack.","CA",13,18,"YES",,,"Martial Arts",,,,50,"per_month","Phone","https://www.facebook.com/pages/Golden-Dragon-Jeet-Kune-Do-Academy/230677666971215","N","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10369910_728829590489351_8417048651323961182_n.jpg?oh=747839846f760b1192d847720722705c&oe=54D64920&__gda__=1423709336_a43018dd02a7a0581b7c79ed24436440","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/t31.0-8/10628641_775775332461443_2929595798376019552_o.jpg"
