"provider_name","website","email","street_address","city","Zipcode","phone","description","state","from_age","to_age","has_class","has_camp","has_birthday_party","activity type","activity type (if additional type is listed, select from the menu)","activity type (if additional type is listed, select from the menu)",,"Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot Lead"
"Experium Science Academy","http://www.experiumscienceacademy.com/",,"21605 Hawthorne Blvd Pavilion C Suite 200","Torrance",90503,"310.543.3100","Experium Science Academy exists to provide children from kindergarten through high school the opportunity to engage their minds and stretch their horizons through hands-on, lab-based science activities. We use inquiry-based learning techniques, instructed by true scientists, within a modern science laboratory dedicated to advancing children’s education.","CA",5,13,"y","y","y","Science","Chemistry","Space","Robotics","Marine Science",200,"per_session","online form/paypal","https://www.facebook.com/ExperiumScience","y","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xaf1/v/t1.0-9/296508_274477149239773_1341806818_n.jpg?oh=f4e5286cde79c611d9590531aba26df9&oe=54F687BB&__gda__=1420914538_53314c206c513457fe261c22a4c2b83e","https://scontent-a-pao.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10686843_806332772720872_3060921189385319229_n.jpg?oh=08cdbe553d06ad3b890996ad9906c8fb&oe=54EB83A7","Main","K",8,"y"
"Thoughtstem","http://www.thoughtstem.com/home",,"8650 Genesee Avenue #928025","San Diego",92192,"(858) 869-9430","ThoughtSTEM was founded by 3 UCSD PhD Students in October of 2012. What started as tutoring business with 5 students has swiftly grown into a county-wide service that has brought students starting at age 6 together throughout San Diego to explore, learn, and have fun!","CA",8,18,"y","y","n","Gaming","Programming","Computers",,,270,"per_session","online form/imperisoft","https://www.facebook.com/ThoughtStem","y","https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/10382823_714492301943391_1543338769804845978_n.png?oh=0eaecd3e69d4cfbd0e04ad1b2324a8c0&oe=54B59B25&__gda__=1425458092_e997203e975186883eb5ac7f93812ecc","https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/10505457_721072534618701_2115834430140591857_n.jpg?oh=0ff63560a0f00ee7f1499758f25c1506&oe=54B7A9B0&__gda__=1420711020_923521dfd0c20706a79b404f7f182e6f","Main",,,"y"
"Cal Poly EPIC Engineering Camp","https://epic.calpoly.edu/","epic@calpoly.edu","Engineering Bldg. 40-117","San Luis Obispo",93407,"805-756-1111","The College of Engineering’s mission is “to educate students for careers of service, leadership and distinction in engineering or other fields by using a Learn by Doing, hands-on approach."" As one of the college’s outreach programs, EPIC summer camp endeavors to extend this mission to grades 7-12.","CA",12,18,"n","y","n","Science",,,,,475,"per_week","online application","https://www.facebook.com/CalPolyEPIC","y",,"https://scontent-a-pao.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10524644_682507098484030_8403965221306606561_n.jpg?oh=3cd41b284df2e6c95275d511952b4b5b&oe=54ABDB88","Main",7,12,
"Johns Hopkins","http://engineering.jhu.edu/ei/","engineering-innovation@jhu.edu","8432 Magnolia Avenue","Riverside",92504,"410-516-6224","Engineering Innovation is an exciting college-level summer program for motivated high school students with an aptitude in math and science and an interest in (or curiosity about) engineering. Students learn to think and problem-solve like engineers and have the opportunity to earn Johns Hopkins University (JHU) credit.","CA",16,18,"n","y","n","Science",,,,,2505,"per_session","none","https://www.facebook.com/pages/Engineering-Innovation-at-Johns-Hopkins-University/141909979177805","y","http://engineering.jhu.edu/ei/wp-content/themes/wse/assets/images/wse-logo.png","http://engineering.jhu.edu/ei/wp-content/uploads/sites/29/2014/01/applynow-628x345.jpg","California Baptist University",9,12,
"Camp Brainy Bunch","http://www.campbrainybunch.com/",,"501 Danville Blvd","Danville",94526,"(510) 548-4800","We approach each week with traditional learning styles, play-based learning, student driven challenges, and hands-on projects. By the end we have covered our subject with every learning style, every creative outlet, and every opportunity to laugh. This is the Brainy Bunch way.","CA",6,11,"n","y","n","Science","Academic Writing","Public Speaking","Leadership","Writing",,,"online application",,,,"http://farm3.staticflickr.com/2879/12210030393_da686c2863_o.jpg","San Ramon Valley High School",1,6,"y"
"Child Development Centers","http://www.cdicdc.org/",,"4340 STEVENS CREEK BLVD., SUITE 260","SAN JOSE",95129,"408.556.7300","OUR CAMPS ARE UNIQUE PROGRAMS THAT EMBRACE FUN, INDIVIDUALITY AND PERSONAL GROWTH. WE ARE POWERED BY OUR CAMPERS’ DESIRES TO RECREATE, SOCIALIZE AND EXPERIENCE SOMETHING NEW. OUR COUNSELORS ARE THE MENTORS OF FUN AND THE GATEKEEPERS OF OUR CAMP CULTURE. MOREOVER, WE VALUE CREATING A COMMUNITY ANDBUILDING A CULTURE OF CREATIVITY, FRIENDSHIP, INCLUSION AND RESPECT THAT PERMEATES ALL THAT WE DO.","CA",,,"n","y","n","Science","Creative Arts","Music","Cooking","Sports",,,"PDF",,,"http://cdcmonstercamps.org/wp-content/themes/flati-child/img/cdc-logo.png","http://cdcmonstercamps.org/wp-content/uploads/2014/01/Activity_camp_HDR.png","Main",,,"y"
"Ivy Goal","http://www.ivygoal.com/","info@ivyGOAL.com","2743 South El Camino Real","San Mateo",94403,"(650) 235-4198","ivyGOAL’s individualized tutoring is the ultimate educational support any child can have. Not only is it the most effective way for your child to achieve subject mastery, it is surprisingly cost effective. The reason that ivyGOAL tutoring works so well is our ability to pinpoint the strengths and weaknesses of the student's current knowledge base, and then customize a learning plan especially for them. By focusing the student’s energies on specific areas, we can ensure students reach their academic goals, often in less time and at lower cost than through any other teaching method.","CA",6,13,"y","n","n",,,,,"Tutoring",54,"per_hour","none","https://www.facebook.com/ivygoal.ed","n","http://nebula.wsimg.com/1184db521b1b9e88ebba9a38da8f1e90?AccessKeyId=C7A38661240E20A7CB87&disposition=0&alloworigin=1","http://nebula.wsimg.com/cd470691c02135965f88c2c7056ae3af?AccessKeyId=C7A38661240E20A7CB87&disposition=0&alloworigin=1","Main",1,8,
"Serra High School","http://www.serrahs.com/page.cfm?p=2494","padres@serrahs.com","451 West 20th Avenue","San Mateo",94403,"650-345-8207","Serra's Summer Sports & Recreation Camp is an action-packed day camp for boys and girls ages 5-12. Recreation activities, arts and crafts, sports skills and Camp Olympics are all a part of this fun, energetic camp. Activities are designed to promote fitness while encouraging fun and the development of social skills. Campers are grouped by age. High school and college aged counselors and adult supervisors provide guidance and support, and make the camp experience a memorable one. Both morning and afternoon extended care is also available.","CA",5,12,,,,"Sports","Creative Arts",,,,105,"per_week","none",,,"https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpf1/t31.0-8/s960x960/1978369_10152796786333849_154763870_o.jpg","http://www.serrahs.com/uploaded/images2/2013_top_banner_pics/2014_top_banner_pics/Sports-and-Rec-2014_Top-.jpg","Main",,,
"Follow the Child","http://ftccamps.com/","jay@ftccamps.com",,"Palo Alto",,"(415) 577-6119","Follow The Child is a discovery of the outdoors, where students explore nature through both art and science. FTC offers outdoor programs throughout the Bay Area as week-long summer camps and as year long science field trips","CA",6,12,"y","y","n",,,"Creative Arts","Nature Programs","Marine Science",495,"per_week","online form/paypal","https://www.facebook.com/pages/Follow-the-Child-Camp/366636433359460","n","http://static.squarespace.com/static/510159d9e4b0fed92eed4584/t/51020056e4b01459337935e6/1414013434288/?format=1500w","https://scontent-2.2914.fna.fbcdn.net/hphotos-xfa1/v/t1.0-9/223887_455254867830949_623917408_n.jpg?oh=621c483ce3e66a0eb9a15af6ecac529f&oe=54D206A6","Main",,,
"Learn to Discover","http://learntodiscover.org/","info@learntodiscover.org","27 Alta Drive","La Selva Beach",95076,"831-662-9700","Learn to Discover's passion is to bring high-quality technology education to students from pre-Kindergarten through and beyond beyond Grade 12. These students might be in public schools, private schools and/or homeschools. Our main focus areas are STEM (science, technology, engineering and math), design skills, and art, and may be expanded to other areas as demand and market research dictates.","CA",4,18,"y","n","y","Robotics","Science","Math",,"Creative Arts",130,"per_session","paypal","https://www.facebook.com/learntodiscover","n","http://learntodiscover.org/assets/images/learntodiscoverlogo.gif","https://scontent-2.2914.fna.fbcdn.net/hphotos-xpa1/v/t1.0-9/10649521_920056841340978_6104215688109982916_n.jpg?oh=48bd2e7082c5c5c9633e15e804543831&oe=55191958","Main","Pre K",12,"y"
