"provider_name","website","email","street_address","city","state","Zipcode","Metro Area","Sales agent","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Activity Type (not in the drop down list/choose from the list here: http://www.activityhero.com/in/san-jose-ca/categories)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Notes","HOT LEAD"
"Playball","http://deedee.usaplayball.com/","Playballkids1@gmail.com",,,,,"NorCal","Hailey","415-484-5916","Playball is a sports and movement program for children age 2-6. We offer a multi-skill program which focuses on the basic fundamental sports skills of 6 different sports including soccer, tennis, baseball, basketball, hockey, and volleyball. Our creative and highly engaging curriculum ensures that the children have a positive experience with us and enjoy every minute of being physically active!",2,6,"Yes","Yes","Yes","Soccer",,,,,,,,,,"None listed","Phone or email","https://www.facebook.com/PlayballSanFrancisco","N/A",,"https://www.kidinmecoaching.com/system/website/side_images/123/thumb/14.jpg",,,,,
"Belmont United Soccer Club","http://www.eteamz.com/BelmontUnited/","belmont.united@gmail.com","PO Box 403","Belmont","CA",94002,"NorCal/Peninsula","Hailey",,"Our soccer academy is open to all children looking to develop their skills and to prepare for competitive soccer the program is led by our Director of Coaching - Jose Cedeno - supported by professional coaches from the club. Through the Academy program Children develop a wide range of fundamental soccer skills including dribbling, passing and shooting. earning is achieved through fun, exciting and motivating games and exercises, all participants will gain confidence, a positive self-esteem, increased motor skills and increased ball familiarity.",5,18,"Yes","Yes","No","Soccer",,,,,,,,,115,"Per_session","Active","https://www.facebook.com/groups/166205183542928/","N/A","http://www.eteamz.com/BelmontUnited/images/L_BUSCNewLogo_3_4912791.jpg","http://photos-images.active.com/file/1/4912791/optimized/98390ac8-1f6c-4b5e-952e-834acb165b28.jpg",,,,,
"Piedmont Soccer Academy","http://www.piedmontsoccer.org/","admin@piedmontsoccer.org","P.O. Box 20801","Piedmont","CA",94620,"NorCal/EastBay","Hailey",,"The Piedmont Soccer Club offers the PSC Youth Academy during the fall season for U8-U10 players and for parents and coaches of all age groups. The Academy is a series of clinics intended to help develop exciting, skillful players and to help develop more effective parent coaches. This will be done through an active learning environment where passion for the game and fun are the emphasis. The Academy is a recreational program that provides soccer skills training for 6, 7, 8 and 9 year olds and coaching education for interested parents that emphasizes fun for all participants.",6,9,"Yes","No","No","Soccer",,,,,,,,,550,"Per_season","Sportability","https://www.facebook.com/groups/204284352959598/","N/A","http://piedmontsoccer.org/images/banner6/images/banner1.jpg","http://piedmontsoccer.org/fpss/slideshows/news/images/DePetra%20U10G%20Team%20Tiburon%202014%20540x380.jpg",,,,,
"Heritage Soccer Club","http://www.heritagesc.com/","jim@heritagesc.com","22 Old Rodgers Ranch Ct","Pleasant Hill","CA",94523,"NorCal/EastBay","Hailey","925-942-0759","Heritage's Year Round Academy is open to boys and girls ages 4 to 9yrs old. The Academy focuses on basic soccer skills under the supervision of our adept instructors with many years of club and high school experience.  Our Professional Staff will direct the natural talent of the children and guide them in a very progressive and detailed way.  Our goal is to teach them correct soccer fundamentals, how to make proper Soccer moves, and to form a team ideology.  Most importantly, its lots of fun!",4,9,"Yes","Yes","No","Soccer",,,,,,,,,195,"Per_session","GotSport","https://www.facebook.com/pages/Heritage-Soccer-Club/190530947630346","Yes","http://static.wixstatic.com/media/15ef6a_a3d061ac3c4933d9e9ad3e4674a44041.png_srz_p_983_162_75_22_0.50_1.20_0.00_png_srz","http://static.wixstatic.com/media/15ef6a_e1f0ea32d76f0121dec455ac04bd5219.jpg_srz_p_400_235_75_22_0.50_1.20_0.00_jpg_srz",,,,,
"Capital Athletic Soccer Academy","http://www.capitalathletic.com/","casaclub@sbcglobal.net","4345 American River DriveSuite A","Sacramento","CA",95864,"NorCal","Hailey","916-489-2272","BOCA is a competitive soccer club for boys and girls in the Sacramento area. Our club is dedicated to teaching the skills and tactics of the game with the idea of developing a constructive style of play based on fluid possession and team orientation. We believe that the athletic development of our youth must contribute to the development of good character and citizenship.",5,18,"Yes","Yes","No","Soccer",,,,,,,,,150,"Per_session","GotSport","https://www.facebook.com/bocafcsoccer","Yes","http://www.bocasoccer.org/wp-content/uploads/2014/03/BOCA-LOGO.png","http://www.bocasoccer.org/wp-content/uploads/2014/01/Boca-Juniors-Program.jpg",,,,,
"Soccer2gether","http://www.soccer2gether.com/","nitzanyerovam@gmail.com","739 Woodhaven Rd","Berkely","CA",94708,"NorCal/EastBay","Hailey","(510) 847-6077","Soccer2gether has a vision to bring people together and create community through the great game of soccer. We are eager to develop soccer skills as well as life skills through exercises and games that engage our players in a variety of physical activities. Our program is focused on instilling basic motor skills, soccer fundamentals, self-confidence, and the virtues of teamwork and cooperation in a relaxed, unhurried and personal environment.",3,11,"Yes","No","No","Soccer",,,,,,,,,85,"Per_season","Paypal","https://www.facebook.com/groups/190684220963162/","N/A","http://static.wixstatic.com/media/60b652_be0f5137175c478a8f91cccda0f6a497.png_srz_p_220_165_75_22_0.50_1.20_0.00_png_srz","http://static.wixstatic.com/media/60b652_f26cc3ee69ac425f85e3f286e2f59484.jpg_srz_p_349_311_75_22_0.50_1.20_0.00_jpg_srz",,,,,"Yes"
"SFF Soccer Cubs","http://sffsoccercubs.com/","info@sffsoccercubs.com","261 Loomis St.","San Francisco","CA",94124,"NorCal/SF","Hailey","415.747.0802","SFF Soccer Cubs is a fun-filled development program built to get your little ones out on the field for some quality playtime. Using a variety of activities, we help kids build confidence, improve coordination skills and learn soccer basics in a fun and safe environment. We’ve got classes for all ages from 18 months to 5 years – join the team!",1.5,5,"Yes","No","Yes","Soccer",,,,,,,,,180,"Per_session","cart on website","https://www.facebook.com/pages/SFF-Soccer-Cubs/416276011809390","No",,"http://sffsoccercubs.com/wp-content/uploads/2013/12/0007_bday_fpo.jpg",,,,,"Yes"
"Grasshopper Soccer","http://www.grasshoppersoccer.com/",,"3032 Fulton Ave","San Francisco","CA",94118,"NorCal/SF","Hailey","(415) 308-0603","We aim not only to improve your child's soccer skills but to provide a fun, non-competitive environment for our young grasshoppers to grow into confident and successful soccer stars of the next generation.  Through our techniques even the most shy and extroverted kids are able to excel at their own speed towards total skills development. ach clinic is designed to build upon the last to provide a comprehensive training experience in an enjoyable and supportive atmosphere. Grasshopper Soccer has a stellar reputation for our high instructor-to-student ratio to ensure each child receives the attention they deserve.",3,9,"Yes","No","No","Soccer",,,,,,,,,160,"Per_session","cart on website","https://www.facebook.com/pages/Grasshopper-Soccer-USA/373530159347604","No","http://www.grasshoppersoccer.com/sites/all/themes/grasshopper/logo.gif","http://www.grasshoppersoccer.com/files/imagecache/gallery_sidebar/n655231819_963265_5319.jpg","San Francisco, Napa, and Marin locations",,,,"Yes"
"Off the Wall Extreme Soccer","http://www.offthewallextreme.com/","soccer@offthewallextreme.com","5 Wayne Court","Sacremento","CA",95829,"NorCal/Sacramento","Hailey","916-383-4200","Off The Wall in partnership with the Extreme Sports Academy is proud to present a variety of training sessions for area soccer and rugby players. We are excited to introduce a new age specific program for U5-U6 boys and girls.",5,7,"Yes","No","No","Soccer",,,,,,,,,175,"Per_session","PDF","https://www.facebook.com/pages/Off-The-Wall-Indoor-Soccer/111746955523088","Yes","http://www.offthewallextreme.com/templates/OTW%20Home/images/logo_header.png",,,,,,"Yes"
"Goalgetters Indoor Soccer","http://www.goalgettersindoorsoccer.com/","davisindoor@gmail.com","1809 Picasso Ave","Davis","CA",95618,"NorCal/Sacramento","Hailey","530-756-3200","Goalgetters Indoor Soccer takes place on a state-of-the-art indoor soccer field inside the Davis Athletic Club. The indoor facility allows everyone to play the world’s favorite game in comfort all year long. Our youth program starts kids young with a focus on having fun and learning life lessons such as respect, sharing, sportsmanship, teamwork and responsibility (all of which soccer caters to perfectly with its focus on teamwork, patience and fun for all). Meanwhile these little guys are getting the early skills to master the game later on. The older kids also have a ton of fun while benefiting from instruction based on European and Brazilian small-sided soccer. The indoor facility affords kids a high percentage of ball contact within a confined area. Also, for players who learn to play soccer indoors (with the emphasis on quick and accurate ball skills as well as on field vision and awareness), outdoor play becomes significantly easier.",2,9,"Yes","No","Yes","Soccer",,,,,,,,,139,"Per_session","Phone or email","https://www.facebook.com/goalgettersdavis","No",,"http://www.goalgettersindoorsoccer.com/images/chute.jpg","Davis Athletic Club",,,,"Yes"
