"provider_name","website","email","street_address","city","state","Zipcode","Metro","Sales person","phone","description","from_age","to_age","has_class","has_camp","has_birthday_party","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","activity type (select from the menu)","Starting price","price_type (values - ""per_class"", ""per_session"" , ""per_month"", ""per_hour"", ""per_day"", ""per_week"", ""per_year"", ""per_season"")","Registration Type  (online, web form, pdf)","Facebook page","Over 500 likes on FB (y/n)","logo_url","photo_url","location_name","from_grade","to_grade","Hot lead","NOTES"
"Dream Weaver Dance Theater","http://www.dreamweaverdance.com/","dreamweaverdance@hotmail.com","1522 Market Street","Redding","CA",96001,"NorCal","Hailey","(530) 247-1010","Dream Weaver Dance Studio offers professional dance instruction in Ballet, Tap, Hip Hop, Jazz, Pointe, Modern Lyrical break dance flamenco, contemporary drama Pilates and more. Classes are avail for the beginner thru advanced student and all ages of children teens and adults are welcome.  Our faculty takes pride in the structured process by which a dancer’s talent develops and celebrates each students unique ability of growth.",2,99,"Yes","No","No","Dance","Ballet","Pointe","Tap","Jazz","Lyrical","Breakdance","Contemporary",,,,"unclear","https://www.facebook.com/pages/Dreamweaver-Dance-Theatre/265258083547458","No","http://www.dreamweaverdance.com/images/index_09.gif","http://www.dreamweaverdance.com/dwdt_gallery/content/bin/images/large/BWP_4741.jpg",,,,"Yes",
"Pony Exress Equine Assisted Skills for Youth","http://www.theponyexpressrocks.org/","pxpress1@gmail.com","6413 Sonoma Hwy","Santa Rosa","CA",95409,"NorCal","Hailey","707.538.9323","Pony Express offers both classes and camps. Our workshops will introduce the fundamentals of horsemanship, including basic care, communication, and riding skills.  It is designed for the beginning equine enthusiast. The Pony Express will be offering three camps at Howarth park.  The camps will consist of daily riding sessions as well as hands-on horsemanship instruction designed to educate, enrich and enlighten all who participate.  Students will learn beginning horsemanship and riding skills as well as knowledge of breeds, confirmation, communication, feeds and feeding and basic veterinary care of horses and ponies.",3,12,"Yes","Yes","Yes","Horseback Riding",,,,,,,,,275,"Per_session","EConnect","https://www.facebook.com/ThePonyExpress1","No","N/A","http://www.theponyexpressrocks.org/wp-content/uploads/2011/10/balou3.jpg",,,,,
"European Pony School","http://www.europeanponyschool.com/","info@srequestrian.com","3184 Guerneville Road","Santa Rosa","CA",95401,"NorCal","Hailey","707.566.0500","The European Pony School is a riding academy for children ages 5-15 located in Santa Rosa, California. Founded in 1986, the European Pony School has developed a reputation not only for its success in teaching children the skills of horsemanship and riding, but also for encouraging self discipline, responsibility and self esteem. We offer full day and half day camps during the summer and the weeks of winter and spring breaks. Our day camp program is the ultimate adventure for kids ages 6 to 13! With daily riding sessions as well as hands-on horsemanship instruction each camper will enjoy a unique experience they will treasure.",5,15,"Yes","Yes","No","Horseback Riding",,,,,,,,,180,"Per_session","PDF","https://www.facebook.com/srequestrian","Yes","N/A","https://scontent-a-lga.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/207648_195631807142630_720091_n.jpg?oh=ec67bddba7fd1a7a94d844e581855366&oe=551E8CFD","Santa Rosa Equestrian Center",,,"Yes",
"Point West Horse Camp","http://www.pointwesthorsecamp.com/",,"4184 Blank Road","Sebastopol","CA",95472,"NorCal","Hailey","(707) 694-2518","Point West Equestrian Center offers an excellent program for beginners through advanced. We have well school lesson horses and ponies. Camp is for children 6-12 years of age. Each session is Monday through Friday and starts at 9:00 a.m. and ends at 2:30 p.m. each day. Our camp is outlined to prepare our new riders to become knowledgeable horse people. This camp is all about horses and we are devoted to making your horse lover have a rockin horse time!",6,12,"No","Yes","Yes","Horseback Riding",,,,,,,,,350,"Per_session","PDF","https://www.facebook.com/pages/Point-West-Equestrian-Center-Summer-Day-Camps/156335444401114","N/A","http://www.pointwesthorsecamp.com/Images/Web%20Ready/images/Logo.jpg","http://www.pointwesthorsecamp.com/Images/For%20Web/10007.jpg",,,,"Yes",
"Napa Valley Summer Camps","http://www.napavalleysummercamps.com/","info@napavalleysummercamps.com","P.O. Box 10794","Napa","CA",94581,"NorCal","Hailey","(707) 738-4107","Napa Valley Summer Camp has been a very popular summer camp since 1999. Our campers enjoy water games, swimming (for the older kids), games, sports, hiking, picnics, basic karate classes, tumbling, movies, and lots of FUN!  Every week is a different field trip ranging from bowling to indoor rock climbing! We offer 9 weeks of camp to enjoy the summer break from school. Programs depend on the age of your children, so we offer a camp for children ages 2-4, and other camps for children 5 1/2 – 11.",2,11,"No","Yes","No","Adventure/Outdoors","Swimming","Hiking","Sports","Martial Arts","Nature Programs",,,,50,"Per_day","PDF","N/A","N/A","N/A","N/A","Misc locations",,,"Yes",
"Kennolyn Camps","http://www.kennolyncamps.com/","camps@kennolyn.com","8205 Glen Haven Road","Soquel","CA",95073,"NorCal","Hailey","831-479-6714","“Awesome!” “Amazing!” “My summer home.” This is how our campers describe Kennolyn. We say it’s a camp filled with fun, adventure, and excitement for everyone.  Whether you are seeking a Santa Cruz Day Camp, a traditional Resident Camp, or an unforgettable Family Camp adventure, Kennolyn has a camp program for you. Located on 300 acres of beautiful redwood forest with views of Monterey Bay, Kennolyn is sure to become your family’s favorite summer camp.",6,14,"No","Yes","No","Adventure/Outdoors","Horseback Riding","Archery","Creative Arts","Swimming","Sports","Guitar","Drama/Theater",,595,"Per_session","CampsInTouch","https://www.facebook.com/Kennolyn","Yes","http://www.kennolyncamps.com/sites/all/themes/kennolyncamps/images/inner-logo.png","https://scontent-b-lga.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10409620_10153120321288312_2540008432836616590_n.jpg?oh=d35f22ffef335ca7ed8a5c79ec9b9534&oe=54E441D8",,1,9,,"Also has family camps"
"Oxbow Summer Art Camp","http://oxbowschool.org/","info@oxbowschool.org","530 Third Street","Napa","CA",94559,"NorCal","Hailey","707-255-6000","Oxbow School offers unique summer camp opportunities for 14 to 16 year-olds who love art. Choose from two art-immersion programs focused on the exploration and development of each camper’s talent and creativity. Campers benefit from the Oxbow philosophy that there is no limit to what they can create given an environment of high-level instruction, encouragement and support. Personal discovery is a goal for every camper that comes to Oxbow.",14,16,"Yes","Yes","No","Creative Arts","Drawing and Painting","Sculpture","Printmaking","Photography and Video",,,,,3150,"Per_session","Active","https://www.facebook.com/pages/Oxbow-Summer-Art-Camp/70622731482?ref=ts","No","http://oxbowschool.org/assets/img/oxbow_logo.png","https://scontent-a-lga.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/10153116_784219741589700_6390795205447684064_n.jpg?oh=79d729e82cac6f53a0690780c4784a06&oe=54D1FC31",,,,,
"Breaking Barriers Summer Camp","http://www.edsupports.com/summercamp/","info@edsupports.com","1942 Embarcadero","Oakland","CA",94606,"NorCal-East Bay","Hailey","510.832.4383","Breaking Barriers Summer Camp is designed to meet the needs of campers and their families who require small group support to access a traditional summer camp experience. Breaking Barriers will provide an environment full of meaningful and fun activities that will nurture each camper's friendship skills as well as self and community awareness. Breaking Barriers will be structured and utilize best practices in the field of education and ABA implemented by behaviorally trained camp counselors. Breaking Barriers will run 2 consecutive two week sessions that will be located in Orinda. Our full day camp will be 9:00 - 3:00 Monday through Friday and is provided to participants that are 5 - 13 years old. We utilize a variety of curricula aimed at improving social understanding within the context of game, craft, fitness and social activities. Groups will be comprised of participants of similar ages and the curriculm will be tailored to meet the needs of the participants, with an emphasis on age-appropriateness.",5,13,"No","Yes","No","Special Needs",,,,,,,,,1100,"Per_session","online cart","https://www.facebook.com/EdSupports","Yes","N/A","https://scontent-b-lga.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/1899962_769076806436321_430370622_n.jpg?oh=93beb3a0e4445f6059ba5f0d14590d79&oe=551DAE7D","66 St Stephen’s Drive Orinda CA 94563",,,"Yes",
"American Dance Training Camps","http://www.americandancetrainingcamp.com/","Info@DanceADTC.com","P.O. Box 14922","San Francisco","CA",94114,"NorCal - SF","Hailey","1-866-383-ADTC","ADTC's dance training camps are open to girls ages 8 - 17. Dancers of all levels and disciplines are welcome - no prior dance experience is necessary to attend! n addition to ADTC's core dance classes in contemporary, hip hop & jazz dance (styles of jazz vary and may include Broadway, lyrical, modern, etc), campers choose from elective dance classes in ballet, tap or world dance during each session-week. Each camper takes four dance classes per day, and at week's end, campers get to show off their new moves in a big Friday night performance for family, friends and fellow campers.",8,17,"No","Yes","No","Dance","Jazz","Ballet","Tap","Hip Hop","Contemporary","Breakdance","Lyrical",,1490,"Per_session","Mycustomevent","https://www.facebook.com/AmericanDanceTrainingCamp","Yes","http://www.americandancetrainingcamp.com/images/adtc-logo.gif","https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/995035_10152610103709826_8565348151918853400_n.jpg?oh=ac6693ea52da473ca470bed181a0d088&oe=54F0981C&__gda__=1424798628_da6cb6c5558911e39f81e69621df5054",,,,,
"Camp Augusta","http://www.campaugusta.org/","office@campaugusta.org","17530 Lake Vera Road","Nevada City","CA",95959,"NorCal","Hailey","530-265-3702","Camp Augusta is a nonprofit (501(c)(3) organization that is managed by a board of directors. We offer summer camp, family camp, outdoor education with school groups, wilderness trips, and site rentals.  Camp Augusta is about FUN with all of the activities you’d expect, but also so much more.  In a small, tight, true community set in natural splendor, campers develop self-confidence, independence, social skills (emotional intelligence), creativity, activity skills, environmental awareness and appreciation, friendships, and healthy living skills.  Campers also learn what most modern children have forgotten -- how to simply play and be a kid without television, video games, cell/smart phones, the internet, canned games, or social pressure.",6,17,"No","Yes","No","Adventure/Outdoors","Rock Climbing","Swimming","Canoeing","Drama/Theater","Multisport","Horseback Riding","Creative Arts","Music",375,"Per_session","CampInTouch","https://www.facebook.com/camp.augusta","Yes","http://www.campaugusta.org/logo_low.jpg","https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfa1/v/t1.0-9/387055_525518887468247_1278032640_n.jpg?oh=2f6daf7c77350f80634af9c1e25abe0f&oe=54D49324&__gda__=1428000429_84dfaa4cd2e41c4c02dd0d21e394ac7b",,,,,
